NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
APARTADO-ANTIOQUIA|MEDELLIN-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|RIONEGRO (ANT)-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|ITAGUI-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|ENVIGADO-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|BELLO-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|CALDAS-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|COPACABANA-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|GIRARDOTA-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|LA ESTRELLA-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|SABANETA-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|BARBOSA-ANTIOQUIA|NACIONAL
APARTADO-ANTIOQUIA|ARMENIA (Q)-QUINDIO|NACIONAL
APARTADO-ANTIOQUIA|MANIZALES-CALDAS|NACIONAL
APARTADO-ANTIOQUIA|PEREIRA-RISARALDA|NACIONAL
ARMENIA (Q)-QUINDIO|BARRANQUILLA-ATLANTICO|NACIONAL
ARMENIA (Q)-QUINDIO|BOSCONIA-CESAR|NACIONAL
ARMENIA (Q)-QUINDIO|CAUCASIA-ANTIOQUIA|NACIONAL
ARMENIA (Q)-QUINDIO|BUENAVENTURA-VALLE|NACIONAL
ARMENIA (Q)-QUINDIO|CIENAGA-MAGDALENA|NACIONAL
ARMENIA (Q)-QUINDIO|IPIALES-NARI�O|NACIONAL
ARMENIA (Q)-QUINDIO|GRANADA (M)-META|NACIONAL
ARMENIA (Q)-QUINDIO|MONTERIA-CORDOBA|NACIONAL
ARMENIA (Q)-QUINDIO|FUNDACION-MAGDALENA|NACIONAL
ARMENIA (Q)-QUINDIO|PASTO-NARI�O|NACIONAL
ARMENIA (Q)-QUINDIO|MAGANGUE-BOLIVAR|NACIONAL
ARMENIA (Q)-QUINDIO|POPAYAN-CAUCA|NACIONAL
ARMENIA (Q)-QUINDIO|RIOHACHA-LA GUAJIRA|NACIONAL
ARMENIA (Q)-QUINDIO|SANTA MARTA-MAGDALENA|NACIONAL
ARMENIA (Q)-QUINDIO|SINCELEJO-SUCRE|NACIONAL
ARMENIA (Q)-QUINDIO|EL CARMEN DE BOLIVAR-BOLIVAR|NACIONAL
ARMENIA (Q)-QUINDIO|VALLEDUPAR-CESAR|NACIONAL
ARMENIA (Q)-QUINDIO|VILLAVICENCIO-META|NACIONAL
ARMENIA (Q)-QUINDIO|YOPAL-CASANARE|NACIONAL
ARMENIA (Q)-QUINDIO|MONTELIBANO-CORDOBA|NACIONAL
ARMENIA (Q)-QUINDIO|PUERTO BOYACA-BOYACA|NACIONAL
ARMENIA (Q)-QUINDIO|PUERTO BERRIO-ANTIOQUIA|NACIONAL
ARMENIA (Q)-QUINDIO|COROZAL-SUCRE|NACIONAL
ARMENIA (Q)-QUINDIO|TAURAMENA-CASANARE|NACIONAL
ARMENIA (Q)-QUINDIO|AGUAZUL-CASANARE|NACIONAL
ARMENIA (Q)-QUINDIO|LA CEJA-ANTIOQUIA|NACIONAL
ARMENIA (Q)-QUINDIO|MARINILLA-ANTIOQUIA|NACIONAL
ARMENIA (Q)-QUINDIO|SAN JACINTO-BOLIVAR|NACIONAL
ARMENIA (Q)-QUINDIO|ACACIAS-META|NACIONAL
ARMENIA (Q)-QUINDIO|VILLANUEVA (C)-CASANARE|NACIONAL
ARMENIA (Q)-QUINDIO|MONTERREY-CASANARE|NACIONAL
ARMENIA (Q)-QUINDIO|GUAMAL-META|NACIONAL
ARMENIA (Q)-QUINDIO|RESTREPO-META|NACIONAL
ARMENIA (Q)-QUINDIO|GUADUAS-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|CAQUEZA-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|CUMARAL-META|NACIONAL
ARMENIA (Q)-QUINDIO|GUARNE-ANTIOQUIA|NACIONAL
ARMENIA (Q)-QUINDIO|PUERTO SALGAR-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|PUERTO LOPEZ-META|NACIONAL
ARMENIA (Q)-QUINDIO|SAN BERNARDO-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|BARANOA-ATLANTICO|NACIONAL
ARMENIA (Q)-QUINDIO|TASCO-BOYACA|NACIONAL
ARMENIA (Q)-QUINDIO|SAN ANTERO-CORDOBA|NACIONAL
ARMENIA (Q)-QUINDIO|CABRERA-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|CHIPAQUE-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|RETIRO-ANTIOQUIA|NACIONAL
ARMENIA (Q)-QUINDIO|LA PAZ-CESAR|NACIONAL
ARMENIA (Q)-QUINDIO|CAJAMARCA-TOLIMA|NACIONAL
ARMENIA (Q)-QUINDIO|MONGUI-BOYACA|NACIONAL
ARMENIA (Q)-QUINDIO|TOPAGA-BOYACA|NACIONAL
ARMENIA (Q)-QUINDIO|SAN DIEGO-CESAR|NACIONAL
ARMENIA (Q)-QUINDIO|CHOACHI-CUNDINAMARCA|NACIONAL
ARMENIA (Q)-QUINDIO|FOMEQUE-CUNDINAMARCA|NACIONAL
