NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
BARRANQUILLA-ATLANTICO|ARMENIA (Q)-QUINDIO|NACIONAL
BARRANQUILLA-ATLANTICO|CARTAGO-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|DOSQUEBRADAS-RISARALDA|NACIONAL
BARRANQUILLA-ATLANTICO|CHINCHINA-CALDAS|NACIONAL
BARRANQUILLA-ATLANTICO|MANIZALES-CALDAS|NACIONAL
BARRANQUILLA-ATLANTICO|PEREIRA-RISARALDA|NACIONAL
BARRANQUILLA-ATLANTICO|SANTA ROSA DE CABAL-RISARALDA|NACIONAL
BARRANQUILLA-ATLANTICO|LA UNION (V)-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|ROLDANILLO-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|CALARCA-QUINDIO|NACIONAL
BARRANQUILLA-ATLANTICO|ANSERMA-CALDAS|NACIONAL
BARRANQUILLA-ATLANTICO|SEVILLA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|LA VIRGINIA-RISARALDA|NACIONAL
BARRANQUILLA-ATLANTICO|LA TEBAIDA-QUINDIO|NACIONAL
BARRANQUILLA-ATLANTICO|CAICEDONIA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|BELEN DE UMBRIA-RISARALDA|NACIONAL
BARRANQUILLA-ATLANTICO|MONTENEGRO-QUINDIO|NACIONAL
BARRANQUILLA-ATLANTICO|VILLAMARIA-CALDAS|NACIONAL
BARRANQUILLA-ATLANTICO|ZARZAL-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|ANSERMA NUEVO-VALLE|NACIONAL
BOSCONIA-CESAR|ARMENIA (Q)-QUINDIO|NACIONAL
BOSCONIA-CESAR|CARTAGO-VALLE|NACIONAL
BOSCONIA-CESAR|DOSQUEBRADAS-RISARALDA|NACIONAL
BOSCONIA-CESAR|CHINCHINA-CALDAS|NACIONAL
BOSCONIA-CESAR|MANIZALES-CALDAS|NACIONAL
BOSCONIA-CESAR|PEREIRA-RISARALDA|NACIONAL
BOSCONIA-CESAR|SANTA ROSA DE CABAL-RISARALDA|NACIONAL
BOSCONIA-CESAR|LA UNION (V)-VALLE|NACIONAL
BOSCONIA-CESAR|ROLDANILLO-VALLE|NACIONAL
BOSCONIA-CESAR|CALARCA-QUINDIO|NACIONAL
BOSCONIA-CESAR|ANSERMA-CALDAS|NACIONAL
BOSCONIA-CESAR|SEVILLA-VALLE|NACIONAL
BOSCONIA-CESAR|LA VIRGINIA-RISARALDA|NACIONAL
BOSCONIA-CESAR|LA TEBAIDA-QUINDIO|NACIONAL
BOSCONIA-CESAR|CAICEDONIA-VALLE|NACIONAL
BOSCONIA-CESAR|BELEN DE UMBRIA-RISARALDA|NACIONAL
BOSCONIA-CESAR|MONTENEGRO-QUINDIO|NACIONAL
BOSCONIA-CESAR|VILLAMARIA-CALDAS|NACIONAL
BOSCONIA-CESAR|ZARZAL-VALLE|NACIONAL
BARANOA-ATLANTICO|ARMENIA (Q)-QUINDIO|NACIONAL
BARANOA-ATLANTICO|CARTAGO-VALLE|NACIONAL
BARANOA-ATLANTICO|DOSQUEBRADAS-RISARALDA|NACIONAL
BARANOA-ATLANTICO|CHINCHINA-CALDAS|NACIONAL
BARANOA-ATLANTICO|MANIZALES-CALDAS|NACIONAL
BARANOA-ATLANTICO|PEREIRA-RISARALDA|NACIONAL
BARANOA-ATLANTICO|SANTA ROSA DE CABAL-RISARALDA|NACIONAL
BARANOA-ATLANTICO|LA UNION (V)-VALLE|NACIONAL
BARANOA-ATLANTICO|ROLDANILLO-VALLE|NACIONAL
BARANOA-ATLANTICO|CALARCA-QUINDIO|NACIONAL
BARANOA-ATLANTICO|ANSERMA-CALDAS|NACIONAL
BARANOA-ATLANTICO|SEVILLA-VALLE|NACIONAL
BARANOA-ATLANTICO|LA VIRGINIA-RISARALDA|NACIONAL
BARANOA-ATLANTICO|LA TEBAIDA-QUINDIO|NACIONAL
BARANOA-ATLANTICO|CAICEDONIA-VALLE|NACIONAL
BARANOA-ATLANTICO|BELEN DE UMBRIA-RISARALDA|NACIONAL
BARANOA-ATLANTICO|MONTENEGRO-QUINDIO|NACIONAL
BARANOA-ATLANTICO|VILLAMARIA-CALDAS|NACIONAL
BARANOA-ATLANTICO|ZARZAL-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|MOMPOS-BOLIVAR|NACIONAL
BARRANQUILLA-ATLANTICO|LORICA-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|PLANETA RICA-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|LA MINA-LA GUAJIRA(CAS)|NACIONAL
BARRANQUILLA-ATLANTICO|TOLU-SUCRE|NACIONAL
BARRANQUILLA-ATLANTICO|SAN MARCOS-SUCRE|NACIONAL
BARRANQUILLA-ATLANTICO|COVE�AS-SUCRE|NACIONAL
BARRANQUILLA-ATLANTICO|CIENAGA DE ORO-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|SAN ANDRES DE SOTAVENTO-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|SAN ANTERO-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|SAN PELAYO-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|TIERRALTA-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|LA PAZ-CESAR|NACIONAL
BARRANQUILLA-ATLANTICO|PIVIJAY-MAGDALENA|NACIONAL
BARRANQUILLA-ATLANTICO|SAN DIEGO-CESAR|NACIONAL
BARRANQUILLA-ATLANTICO|BECERRIL-CESAR|NACIONAL
BARRANQUILLA-ATLANTICO|SAMPUES-SUCRE|NACIONAL
BARRANQUILLA-ATLANTICO|SAN ONOFRE-SUCRE|NACIONAL
BARRANQUILLA-ATLANTICO|MOMIL-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|URIBIA-LA GUAJIRA|NACIONAL
BARRANQUILLA-ATLANTICO|MARIA LA BAJA B-BOLIVAR|NACIONAL
BARRANQUILLA-ATLANTICO|COTORRA (I)-CORDOBA|NACIONAL
BARRANQUILLA-ATLANTICO|OVEJAS-SUCRE|NACIONAL
BOSCONIA-CESAR|URIBIA-LA GUAJIRA|NACIONAL
BOSCONIA-CESAR|MARIA LA BAJA B-BOLIVAR|NACIONAL
BARANOA-ATLANTICO|URIBIA-LA GUAJIRA|NACIONAL
BARANOA-ATLANTICO|MARIA LA BAJA B-BOLIVAR|NACIONAL
BECERRIL-CESAR|BARRANQUILLA-ATLANTICO|NACIONAL
BECERRIL-CESAR|SAN ONOFRE-SUCRE|NACIONAL
BECERRIL-CESAR|TURBACO B-BOLIVAR|NACIONAL
BECERRIL-CESAR|URIBIA-LA GUAJIRA|NACIONAL
BECERRIL-CESAR|MARIA LA BAJA B-BOLIVAR|NACIONAL
BAYUNCA-BOLIVAR(CORRGTO)|BARRANQUILLA-ATLANTICO|NACIONAL
BAYUNCA-BOLIVAR(CORRGTO)|TURBACO B-BOLIVAR|NACIONAL
BAYUNCA-BOLIVAR(CORRGTO)|URIBIA-LA GUAJIRA|NACIONAL
BAYUNCA-BOLIVAR(CORRGTO)|MARIA LA BAJA B-BOLIVAR|NACIONAL
BARRANQUILLA-ATLANTICO|MEDELLIN-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|RIONEGRO (ANT)-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|ITAGUI-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|ENVIGADO-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|BELLO-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|CALDAS-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|COPACABANA-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|GIRARDOTA-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|LA ESTRELLA-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|SABANETA-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|BARBOSA-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|SAN ANTONIO DE PRADO-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|MEDELLIN-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|ITAGUI-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|ENVIGADO-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|BELLO-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|CALDAS-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|COPACABANA-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|GIRARDOTA-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|LA ESTRELLA-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|SABANETA-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|BARBOSA-ANTIOQUIA|NACIONAL
BOSCONIA-CESAR|SAN ANTONIO DE PRADO-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|MEDELLIN-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|ITAGUI-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|ENVIGADO-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|BELLO-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|CALDAS-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|COPACABANA-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|GIRARDOTA-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|LA ESTRELLA-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|SABANETA-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|BARBOSA-ANTIOQUIA|NACIONAL
BARANOA-ATLANTICO|SAN ANTONIO DE PRADO-ANTIOQUIA|NACIONAL
BARRANQUILLA-ATLANTICO|BUENAVENTURA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|BUGA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|IPIALES-NARI�O|NACIONAL
BARRANQUILLA-ATLANTICO|PASTO-NARI�O|NACIONAL
BARRANQUILLA-ATLANTICO|PALMIRA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|POPAYAN-CAUCA|NACIONAL
BARRANQUILLA-ATLANTICO|SANTANDER DE QUILICHAO-CAUCA|NACIONAL
BARRANQUILLA-ATLANTICO|TULUA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|PUERTO TEJADA-CAUCA|NACIONAL
BARRANQUILLA-ATLANTICO|ANDALUCIA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|YUMBO-VALLE(CORRGTO)|NACIONAL
BARRANQUILLA-ATLANTICO|PRADERA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|BUGALAGRANDE-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|JAMUNDI-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|EL CERRITO-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|FLORIDA-VALLE|NACIONAL
BARRANQUILLA-ATLANTICO|GINEBRA-VALLE|NACIONAL
