NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
CIENAGA-MAGDALENA|ARMENIA (Q)-QUINDIO|NACIONAL
CIENAGA-MAGDALENA|CARTAGO-VALLE|NACIONAL
CIENAGA-MAGDALENA|DOSQUEBRADAS-RISARALDA|NACIONAL
CIENAGA-MAGDALENA|CHINCHINA-CALDAS|NACIONAL
CIENAGA-MAGDALENA|MANIZALES-CALDAS|NACIONAL
CIENAGA-MAGDALENA|PEREIRA-RISARALDA|NACIONAL
CIENAGA-MAGDALENA|SANTA ROSA DE CABAL-RISARALDA|NACIONAL
CIENAGA-MAGDALENA|LA UNION (V)-VALLE|NACIONAL
CIENAGA-MAGDALENA|ROLDANILLO-VALLE|NACIONAL
CIENAGA-MAGDALENA|CALARCA-QUINDIO|NACIONAL
CIENAGA-MAGDALENA|ANSERMA-CALDAS|NACIONAL
CIENAGA-MAGDALENA|SEVILLA-VALLE|NACIONAL
CIENAGA-MAGDALENA|LA VIRGINIA-RISARALDA|NACIONAL
CIENAGA-MAGDALENA|LA TEBAIDA-QUINDIO|NACIONAL
CIENAGA-MAGDALENA|CAICEDONIA-VALLE|NACIONAL
CIENAGA-MAGDALENA|BELEN DE UMBRIA-RISARALDA|NACIONAL
CIENAGA-MAGDALENA|MONTENEGRO-QUINDIO|NACIONAL
CIENAGA-MAGDALENA|VILLAMARIA-CALDAS|NACIONAL
CIENAGA-MAGDALENA|ZARZAL-VALLE|NACIONAL
COROZAL-SUCRE|ARMENIA (Q)-QUINDIO|NACIONAL
COROZAL-SUCRE|CARTAGO-VALLE|NACIONAL
COROZAL-SUCRE|DOSQUEBRADAS-RISARALDA|NACIONAL
COROZAL-SUCRE|CHINCHINA-CALDAS|NACIONAL
COROZAL-SUCRE|MANIZALES-CALDAS|NACIONAL
COROZAL-SUCRE|PEREIRA-RISARALDA|NACIONAL
COROZAL-SUCRE|SANTA ROSA DE CABAL-RISARALDA|NACIONAL
COROZAL-SUCRE|LA UNION (V)-VALLE|NACIONAL
COROZAL-SUCRE|ROLDANILLO-VALLE|NACIONAL
COROZAL-SUCRE|CALARCA-QUINDIO|NACIONAL
COROZAL-SUCRE|ANSERMA-CALDAS|NACIONAL
COROZAL-SUCRE|SEVILLA-VALLE|NACIONAL
COROZAL-SUCRE|LA VIRGINIA-RISARALDA|NACIONAL
COROZAL-SUCRE|LA TEBAIDA-QUINDIO|NACIONAL
COROZAL-SUCRE|CAICEDONIA-VALLE|NACIONAL
COROZAL-SUCRE|BELEN DE UMBRIA-RISARALDA|NACIONAL
COROZAL-SUCRE|MONTENEGRO-QUINDIO|NACIONAL
COROZAL-SUCRE|VILLAMARIA-CALDAS|NACIONAL
COROZAL-SUCRE|ZARZAL-VALLE|NACIONAL
CHIMA (C)-CORDOBA|ARMENIA (Q)-QUINDIO|NACIONAL
CHIMA (C)-CORDOBA|CARTAGO-VALLE|NACIONAL
CHIMA (C)-CORDOBA|DOSQUEBRADAS-RISARALDA|NACIONAL
CHIMA (C)-CORDOBA|CHINCHINA-CALDAS|NACIONAL
CHIMA (C)-CORDOBA|MANIZALES-CALDAS|NACIONAL
CHIMA (C)-CORDOBA|PEREIRA-RISARALDA|NACIONAL
CHIMA (C)-CORDOBA|SANTA ROSA DE CABAL-RISARALDA|NACIONAL
CHIMA (C)-CORDOBA|LA UNION (V)-VALLE|NACIONAL
CHIMA (C)-CORDOBA|CALARCA-QUINDIO|NACIONAL
CHIMA (C)-CORDOBA|ANSERMA-CALDAS|NACIONAL
