NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
EL CARMEN DE BOLIVAR-BOLIVAR;ARMENIA (Q)-QUINDIO;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;CARTAGO-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;DOSQUEBRADAS-RISARALDA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;CHINCHINA-CALDAS;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;MANIZALES-CALDAS;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;PEREIRA-RISARALDA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;LA UNION (V)-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;ROLDANILLO-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;CALARCA-QUINDIO;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;ANSERMA-CALDAS;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;SEVILLA-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;LA VIRGINIA-RISARALDA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;LA TEBAIDA-QUINDIO;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;CAICEDONIA-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;BELEN DE UMBRIA-RISARALDA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;MONTENEGRO-QUINDIO;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;VILLAMARIA-CALDAS;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;ZARZAL-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;URIBIA-LA GUAJIRA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;MARIA LA BAJA B-BOLIVAR;NACIONAL
EL DIFICIL-MAGDALENA;BARRANQUILLA-ATLANTICO;NACIONAL
EL DIFICIL-MAGDALENA;URIBIA-LA GUAJIRA;NACIONAL
EL DIFICIL-MAGDALENA;MARIA LA BAJA B-BOLIVAR;NACIONAL
EL MOLINO-LA GUAJIRA;BARRANQUILLA-ATLANTICO;NACIONAL
EL COPEY-CESAR;URIBIA-LA GUAJIRA;NACIONAL
EL COPEY-CESAR;MARIA LA BAJA B-BOLIVAR;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;MEDELLIN-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;ITAGUI-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;ENVIGADO-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;BELLO-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;CALDAS-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;COPACABANA-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;GIRARDOTA-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;LA ESTRELLA-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;SABANETA-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;BARBOSA-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;BUENAVENTURA-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;BUGA-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;TULUA-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;YUMBO-VALLE(CORRGTO);NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;YOTOCO-VALLE;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;VILLA RICA-CAUCA;NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
EL CARMEN DE BOLIVAR-BOLIVAR;FLORIDABLANCA-SANTANDER;NACIONAL
ENVIGADO-ANTIOQUIA;TASCO-BOYACA;NACIONAL
ENVIGADO-ANTIOQUIA;MONGUI-BOYACA;NACIONAL
ENVIGADO-ANTIOQUIA;TOPAGA-BOYACA;NACIONAL
ENVIGADO-ANTIOQUIA;APARTADO-ANTIOQUIA;NACIONAL
ENVIGADO-ANTIOQUIA;CAUCASIA-ANTIOQUIA;NACIONAL
ENVIGADO-ANTIOQUIA;PUERTO BERRIO-ANTIOQUIA;NACIONAL
ENVIGADO-ANTIOQUIA;GRANADA (M)-META;NACIONAL
ENVIGADO-ANTIOQUIA;VILLAVICENCIO-META;NACIONAL
