NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
FUNDACION-MAGDALENA;ARMENIA (Q)-QUINDIO;NACIONAL
FUNDACION-MAGDALENA;CARTAGO-VALLE;NACIONAL
FUNDACION-MAGDALENA;DOSQUEBRADAS-RISARALDA;NACIONAL
FUNDACION-MAGDALENA;CHINCHINA-CALDAS;NACIONAL
FUNDACION-MAGDALENA;MANIZALES-CALDAS;NACIONAL
FUNDACION-MAGDALENA;PEREIRA-RISARALDA;NACIONAL
FUNDACION-MAGDALENA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
FUNDACION-MAGDALENA;LA UNION (V)-VALLE;NACIONAL
FUNDACION-MAGDALENA;ROLDANILLO-VALLE;NACIONAL
FUNDACION-MAGDALENA;CALARCA-QUINDIO;NACIONAL
FUNDACION-MAGDALENA;ANSERMA-CALDAS;NACIONAL
FUNDACION-MAGDALENA;SEVILLA-VALLE;NACIONAL
FUNDACION-MAGDALENA;LA VIRGINIA-RISARALDA;NACIONAL
FUNDACION-MAGDALENA;LA TEBAIDA-QUINDIO;NACIONAL
FUNDACION-MAGDALENA;CAICEDONIA-VALLE;NACIONAL
FUNDACION-MAGDALENA;BELEN DE UMBRIA-RISARALDA;NACIONAL
FUNDACION-MAGDALENA;MONTENEGRO-QUINDIO;NACIONAL
FUNDACION-MAGDALENA;VILLAMARIA-CALDAS;NACIONAL
FUNDACION-MAGDALENA;ZARZAL-VALLE;NACIONAL
FUNDACION-MAGDALENA;SAN ONOFRE-SUCRE;NACIONAL
FUNDACION-MAGDALENA;URIBIA-LA GUAJIRA;NACIONAL
FUNDACION-MAGDALENA;MARIA LA BAJA B-BOLIVAR;NACIONAL
FUNDACION-MAGDALENA;MEDELLIN-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;ITAGUI-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;ENVIGADO-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;BELLO-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;CALDAS-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;COPACABANA-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;GIRARDOTA-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;LA ESTRELLA-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;SABANETA-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;BARBOSA-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;BUENAVENTURA-VALLE;NACIONAL
FUNDACION-MAGDALENA;BUGA-VALLE;NACIONAL
FUNDACION-MAGDALENA;TULUA-VALLE;NACIONAL
FUNDACION-MAGDALENA;YUMBO-VALLE(CORRGTO);NACIONAL
FUNDACION-MAGDALENA;YOTOCO-VALLE;NACIONAL
FUNDACION-MAGDALENA;VILLA RICA-CAUCA;NACIONAL
FUNDACION-MAGDALENA;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
FUNDACION-MAGDALENA;FLORIDABLANCA-SANTANDER;NACIONAL
FLORIDA-VALLE;BARRANQUILLA-ATLANTICO;NACIONAL
FLORIDA-VALLE;TASCO-BOYACA;NACIONAL
FLORIDA-VALLE;FLORIDABLANCA-SANTANDER;NACIONAL
FLORIDA-VALLE;MONGUI-BOYACA;NACIONAL
FLORIDA-VALLE;TURBACO B-BOLIVAR;NACIONAL
FOMEQUE-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
FLANDES-TOLIMA;MONGUI-BOYACA;NACIONAL
FLORIDA-VALLE;MARINILLA-ANTIOQUIA;NACIONAL
FLORIDA-VALLE;GUARNE-ANTIOQUIA;NACIONAL
FLORIDA-VALLE;RETIRO-ANTIOQUIA;NACIONAL
FLORIDA-VALLE;PUERTO BOYACA-BOYACA;NACIONAL
FLORIDA-VALLE;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
FLORIDA-VALLE;SAMANIEGO-NARIÑO;NACIONAL
FALAN-TOLIMA;MONGUI-BOYACA;NACIONAL
FLORIDA-VALLE;PUERTO TRIUNFO-ANTIOQUIA;NACIONAL
FLORIDA-VALLE;MARSELLA-RISARALDA;NACIONAL
FLORIDA-VALLE;PACORA-CALDAS;NACIONAL
FLORIDA-VALLE;DORADAL-ANTIOQUIA(CORRGTO);NACIONAL
FLORIDA-VALLE;AGUADAS-CALDAS;NACIONAL
FLORIDA-VALLE;NEIRA-CALDAS;NACIONAL
FUNDACION-MAGDALENA;TASCO-BOYACA;NACIONAL
FUNDACION-MAGDALENA;MONGUI-BOYACA;NACIONAL
FUNDACION-MAGDALENA;IPIALES-NARIÑO;NACIONAL
FUNDACION-MAGDALENA;PASTO-NARIÑO;NACIONAL
FUNDACION-MAGDALENA;MARINILLA-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;GUARNE-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;RETIRO-ANTIOQUIA;NACIONAL
FUNDACION-MAGDALENA;PUERTO BOYACA-BOYACA;NACIONAL
FUNDACION-MAGDALENA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
FLORIDA-VALLE;ARMENIA (Q)-QUINDIO;NACIONAL
FLORIDA-VALLE;CARTAGO-VALLE;NACIONAL
FLORIDA-VALLE;DOSQUEBRADAS-RISARALDA;NACIONAL
FLORIDA-VALLE;CHINCHINA-CALDAS;NACIONAL
FLORIDA-VALLE;MANIZALES-CALDAS;NACIONAL
FLORIDA-VALLE;PEREIRA-RISARALDA;NACIONAL
FLORIDA-VALLE;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
FLORIDA-VALLE;LA UNION (V)-VALLE;NACIONAL
FLORIDA-VALLE;ROLDANILLO-VALLE;NACIONAL
FLORIDA-VALLE;CALARCA-QUINDIO;NACIONAL
FLORIDA-VALLE;ANSERMA-CALDAS;NACIONAL
FLORIDA-VALLE;SEVILLA-VALLE;NACIONAL
FLORIDA-VALLE;LA VIRGINIA-RISARALDA;NACIONAL
FLORIDA-VALLE;LA TEBAIDA-QUINDIO;NACIONAL
FLORIDA-VALLE;CAICEDONIA-VALLE;NACIONAL
