NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
GALAPA-ATLANTICO;SAN ONOFRE-SUCRE;NACIONAL
GALAPA-ATLANTICO;URIBIA-LA GUAJIRA;NACIONAL
GALAPA-ATLANTICO;MARIA LA BAJA B-BOLIVAR;NACIONAL
GIRARDOTA-ANTIOQUIA;TASCO-BOYACA;NACIONAL
GIRARDOTA-ANTIOQUIA;MONGUI-BOYACA;NACIONAL
GIRARDOTA-ANTIOQUIA;TOPAGA-BOYACA;NACIONAL
GUARNE-ANTIOQUIA;FLORIDABLANCA-SANTANDER;NACIONAL
GIRARDOTA-ANTIOQUIA;APARTADO-ANTIOQUIA;NACIONAL
GIRARDOTA-ANTIOQUIA;CAUCASIA-ANTIOQUIA;NACIONAL
GIRARDOTA-ANTIOQUIA;PUERTO BERRIO-ANTIOQUIA;NACIONAL
GUARNE-ANTIOQUIA;MONTELIBANO-CORDOBA;NACIONAL
GIRARDOTA-ANTIOQUIA;GRANADA (M)-META;NACIONAL
GIRARDOTA-ANTIOQUIA;VILLAVICENCIO-META;NACIONAL
GIRARDOTA-ANTIOQUIA;YOPAL-CASANARE;NACIONAL
GIRARDOTA-ANTIOQUIA;TAURAMENA-CASANARE;NACIONAL
GIRARDOTA-ANTIOQUIA;AGUAZUL-CASANARE;NACIONAL
GIRARDOTA-ANTIOQUIA;ACACIAS-META;NACIONAL
GIRARDOTA-ANTIOQUIA;VILLANUEVA (C)-CASANARE;NACIONAL
GIRARDOTA-ANTIOQUIA;MONTERREY-CASANARE;NACIONAL
GIRARDOTA-ANTIOQUIA;GUAMAL-META;NACIONAL
GIRARDOTA-ANTIOQUIA;RESTREPO-META;NACIONAL
GIRARDOTA-ANTIOQUIA;CUMARAL-META;NACIONAL
GIRARDOTA-ANTIOQUIA;PUERTO LOPEZ-META;NACIONAL
GIRARDOTA-ANTIOQUIA;APIAY-META(CENTPOBL);NACIONAL
GIRARDOTA-ANTIOQUIA;CASTILLA LA NUEVA-META;NACIONAL
GIRARDOTA-ANTIOQUIA;PUERTO GAITAN-META;NACIONAL
GIRARDOTA-ANTIOQUIA;GUAYABETAL-CUNDINAMARCA;NACIONAL
GUARNE-ANTIOQUIA;MEDINA-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;BUENAVENTURA-VALLE;NACIONAL
GIRARDOTA-ANTIOQUIA;IPIALES-NARIÑO;NACIONAL
GIRARDOTA-ANTIOQUIA;PASTO-NARIÑO;NACIONAL
GIRARDOTA-ANTIOQUIA;POPAYAN-CAUCA;NACIONAL
GUARNE-ANTIOQUIA;BUGA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;PALMIRA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;SANTANDER DE QUILICHAO-CAUCA;NACIONAL
GUARNE-ANTIOQUIA;TULUA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;PUERTO TEJADA-CAUCA;NACIONAL
GUARNE-ANTIOQUIA;ANDALUCIA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;YUMBO-VALLE(CORRGTO);NACIONAL
GUARNE-ANTIOQUIA;PRADERA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;BUGALAGRANDE-VALLE;NACIONAL
GUARNE-ANTIOQUIA;JAMUNDI-VALLE;NACIONAL
GUARNE-ANTIOQUIA;EL CERRITO-VALLE;NACIONAL
GUARNE-ANTIOQUIA;FLORIDA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;GINEBRA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;GUACARI-VALLE;NACIONAL
GUARNE-ANTIOQUIA;CALOTO-CAUCA;NACIONAL
GUARNE-ANTIOQUIA;YOTOCO-VALLE;NACIONAL
GUARNE-ANTIOQUIA;VILLA RICA-CAUCA;NACIONAL
GUARNE-ANTIOQUIA;CANDELARIA-VALLE(CORRGTO);NACIONAL
GUARNE-ANTIOQUIA;ROZO-VALLE(CORRGTO);NACIONAL
GUARNE-ANTIOQUIA;SAN PEDRO(V)-VALLE;NACIONAL
GIRARDOTA-ANTIOQUIA;PUERTO TRIUNFO-ANTIOQUIA;NACIONAL
GIRARDOTA-ANTIOQUIA;DORADAL-ANTIOQUIA(CORRGTO);NACIONAL
GIRARDOTA-ANTIOQUIA;LERIDA-TOLIMA;NACIONAL
GIRARDOTA-ANTIOQUIA;ALVARADO-TOLIMA;NACIONAL
GUARNE-ANTIOQUIA;ARMENIA (Q)-QUINDIO;NACIONAL
GUARNE-ANTIOQUIA;CARTAGO-VALLE;NACIONAL
GUARNE-ANTIOQUIA;DOSQUEBRADAS-RISARALDA;NACIONAL
GUARNE-ANTIOQUIA;CHINCHINA-CALDAS;NACIONAL
GUARNE-ANTIOQUIA;MANIZALES-CALDAS;NACIONAL
GUARNE-ANTIOQUIA;PEREIRA-RISARALDA;NACIONAL
GUARNE-ANTIOQUIA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
GUARNE-ANTIOQUIA;LA UNION (V)-VALLE;NACIONAL
GUARNE-ANTIOQUIA;ROLDANILLO-VALLE;NACIONAL
GUARNE-ANTIOQUIA;CALARCA-QUINDIO;NACIONAL
GUARNE-ANTIOQUIA;PUERTO BOYACA-BOYACA;NACIONAL
GUARNE-ANTIOQUIA;ANSERMA-CALDAS;NACIONAL
GUARNE-ANTIOQUIA;SEVILLA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;LA VIRGINIA-RISARALDA;NACIONAL
GUARNE-ANTIOQUIA;LA TEBAIDA-QUINDIO;NACIONAL
GUARNE-ANTIOQUIA;CAICEDONIA-VALLE;NACIONAL
GUARNE-ANTIOQUIA;BELEN DE UMBRIA-RISARALDA;NACIONAL
GUARNE-ANTIOQUIA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
GUARNE-ANTIOQUIA;VILLAMARIA-CALDAS;NACIONAL
GUARNE-ANTIOQUIA;ZARZAL-VALLE;NACIONAL
GUARNE-ANTIOQUIA;ANSERMA NUEVO-VALLE;NACIONAL
GIRARDOTA-ANTIOQUIA;BARRANQUILLA-ATLANTICO;NACIONAL
GIRARDOTA-ANTIOQUIA;BOSCONIA-CESAR;NACIONAL
GIRARDOTA-ANTIOQUIA;CIENAGA-MAGDALENA;NACIONAL
GIRARDOTA-ANTIOQUIA;MONTERIA-CORDOBA;NACIONAL
GIRARDOTA-ANTIOQUIA;FUNDACION-MAGDALENA;NACIONAL
GIRARDOTA-ANTIOQUIA;MAGANGUE-BOLIVAR;NACIONAL
GIRARDOTA-ANTIOQUIA;RIOHACHA-LA GUAJIRA;NACIONAL
GIRARDOTA-ANTIOQUIA;SANTA MARTA-MAGDALENA;NACIONAL
GIRARDOTA-ANTIOQUIA;SINCELEJO-SUCRE;NACIONAL
GIRARDOTA-ANTIOQUIA;EL CARMEN DE BOLIVAR-BOLIVAR;NACIONAL
GIRARDOTA-ANTIOQUIA;VALLEDUPAR-CESAR;NACIONAL
GIRARDOTA-ANTIOQUIA;COROZAL-SUCRE;NACIONAL
GIRARDOTA-ANTIOQUIA;SAN JACINTO-BOLIVAR;NACIONAL
GIRARDOTA-ANTIOQUIA;BARANOA-ATLANTICO;NACIONAL
GIRARDOTA-ANTIOQUIA;SAN ANTERO-CORDOBA;NACIONAL
GIRARDOTA-ANTIOQUIA;LA PAZ-CESAR;NACIONAL
GIRARDOTA-ANTIOQUIA;SAN DIEGO-CESAR;NACIONAL
GIRARDOTA-ANTIOQUIA;SAMPUES-SUCRE;NACIONAL
GIRARDOTA-ANTIOQUIA;MALAMBO-ATLANTICO;NACIONAL
GIRARDOTA-ANTIOQUIA;TURBACO B-BOLIVAR;NACIONAL
GIRARDOTA-ANTIOQUIA;GAIRA-MAGDALENA;NACIONAL
GIRARDOTA-ANTIOQUIA;LA GRAN VIA-MAGDALENA(CORRGTO);NACIONAL
GIRARDOTA-ANTIOQUIA;PUEBLO BELLO-CESAR;NACIONAL
GIRARDOTA-ANTIOQUIA;ESPINAL-TOLIMA;NACIONAL
GIRARDOTA-ANTIOQUIA;GUADUAS-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;CAQUEZA-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;CHIPAQUE-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;CARMEN DE APICALA-TOLIMA;NACIONAL
GIRARDOTA-ANTIOQUIA;ICONONZO-TOLIMA;NACIONAL
GIRARDOTA-ANTIOQUIA;CHOACHI-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;FOMEQUE-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;FLANDES-TOLIMA;NACIONAL
GIRARDOTA-ANTIOQUIA;CAPARRAPI-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;GUAYABAL DE SIQUIMA-CUNDINAMARCA;NACIONAL
GIRARDOTA-ANTIOQUIA;SAN JUAN DE RIO SECO-CUNDINAMARCA;NACIONAL
