NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
HATONUEVO-LA GUAJIRA;BARRANQUILLA-ATLANTICO;NACIONAL
HATONUEVO-LA GUAJIRA;FLORIDABLANCA-SANTANDER;NACIONAL
HATONUEVO-LA GUAJIRA;SAN ONOFRE-SUCRE;NACIONAL
HATONUEVO-LA GUAJIRA;TURBACO B-BOLIVAR;NACIONAL
HATONUEVO-LA GUAJIRA;MARIA LA BAJA B-BOLIVAR;NACIONAL
HATONUEVO-LA GUAJIRA;BUENAVENTURA-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;BUGA-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;TULUA-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;YUMBO-VALLE(CORRGTO);NACIONAL
HATONUEVO-LA GUAJIRA;MEDELLIN-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;ITAGUI-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;ENVIGADO-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;BELLO-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;CALDAS-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;COPACABANA-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;SABANETA-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;ARMENIA (Q)-QUINDIO;NACIONAL
HATONUEVO-LA GUAJIRA;CARTAGO-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;DOSQUEBRADAS-RISARALDA;NACIONAL
HATONUEVO-LA GUAJIRA;CHINCHINA-CALDAS;NACIONAL
HATONUEVO-LA GUAJIRA;MANIZALES-CALDAS;NACIONAL
HATONUEVO-LA GUAJIRA;PEREIRA-RISARALDA;NACIONAL
HATONUEVO-LA GUAJIRA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
HATONUEVO-LA GUAJIRA;LA UNION (V)-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;ROLDANILLO-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;CALARCA-QUINDIO;NACIONAL
HATONUEVO-LA GUAJIRA;ANSERMA-CALDAS;NACIONAL
HATONUEVO-LA GUAJIRA;LA VIRGINIA-RISARALDA;NACIONAL
HATONUEVO-LA GUAJIRA;LA TEBAIDA-QUINDIO;NACIONAL
HATONUEVO-LA GUAJIRA;MONTENEGRO-QUINDIO;NACIONAL
HATONUEVO-LA GUAJIRA;VILLAMARIA-CALDAS;NACIONAL
HATONUEVO-LA GUAJIRA;ZARZAL-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
HERVEO-TOLIMA;BECERRIL-CESAR;NACIONAL
HONDA-TOLIMA;CANALETE-CORDOBA;NACIONAL
HONDA-TOLIMA;PUERTO ESCONDIDO-CORDOBA;NACIONAL
HONDA-TOLIMA;BECERRIL-CESAR;NACIONAL
HATONUEVO-LA GUAJIRA;PALOMINO-LA GUAJIRA(CORRGTO);NACIONAL
HONDA-TOLIMA;COTORRA (I)-CORDOBA;NACIONAL
HONDA-TOLIMA;MALAGANA-BOLIVAR(CORRGTO);NACIONAL
HONDA-TOLIMA;MOMIL-CORDOBA;NACIONAL
HONDA-TOLIMA;URIBIA-LA GUAJIRA;NACIONAL
HONDA-TOLIMA;SAMANIEGO-NARIÑO;NACIONAL
HONDA-TOLIMA;HERVEO-TOLIMA;NACIONAL
HATONUEVO-LA GUAJIRA;LA APARTADA Y LA FRONTERA-CORDOBA;NACIONAL
HATONUEVO-LA GUAJIRA;CAJAMARCA-TOLIMA;NACIONAL
HATONUEVO-LA GUAJIRA;LA SIERRA-ANTIOQUIA(CORRGTO);NACIONAL
HATONUEVO-LA GUAJIRA;LA PAILA-VALLE;NACIONAL
HONDA-TOLIMA;BUENAVISTA (COR)-CORDOBA;NACIONAL
HATONUEVO-LA GUAJIRA;MALAGANA-BOLIVAR(CORRGTO);NACIONAL
HONDA-TOLIMA;VALENCIA-CORDOBA;NACIONAL
HONDA-TOLIMA;GALERAS-SUCRE;NACIONAL
HONDA-TOLIMA;GALAPA-ATLANTICO;NACIONAL
HONDA-TOLIMA;SAN ONOFRE-SUCRE;NACIONAL
HONDA-TOLIMA;JUAN DE ACOSTA-ATLANTICO;NACIONAL
HONDA-TOLIMA;MARIA LA BAJA B-BOLIVAR;NACIONAL
HONDA-TOLIMA;ESPINAL-TOLIMA;NACIONAL
HONDA-TOLIMA;MEDELLIN-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;ZIPAQUIRA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;BELLO-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;VILLETA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;CALDAS-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;COPACABANA-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;GIRARDOTA-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;UBATE-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;TOCAIMA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;CAJICA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;TABIO-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SABANETA-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;SILVANIA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SOACHA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;TENJO-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;CACHIPAY-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;AGUA DE DIOS-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;COTA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SOPO-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;ALBAN-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;LA MESA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;NEMOCON-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SIBATE-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;TOCANCIPA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;CARMEN DE APICALA-TOLIMA;NACIONAL
HONDA-TOLIMA;ICONONZO-TOLIMA;NACIONAL
HONDA-TOLIMA;EL COLEGIO (MESITAS)-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;LA CALERA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;GUASCA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SANTANDERCITO-CUNDINAMARCA(INSPOLMUN);NACIONAL
HONDA-TOLIMA;MEDINA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;FLANDES-TOLIMA;NACIONAL
HONDA-TOLIMA;LA FLORIDA-CUNDINAMARCA(INSPOL);NACIONAL
HONDA-TOLIMA;SUBACHOQUE-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SUTATAUSA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SASAIMA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;BRICEÑO-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;EL ROSAL-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SIMIJACA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;VIOTA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;VILLAPINZON-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;MACHETA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;UTICA-CUNDINAMARCA;NACIONAL
HONDA-TOLIMA;NILO-CUNDINAMARCA;NACIONAL
HATONUEVO-LA GUAJIRA;POPAYAN-CAUCA;NACIONAL
HATONUEVO-LA GUAJIRA;CAUCASIA-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;PUERTO BERRIO-ANTIOQUIA;NACIONAL
HATONUEVO-LA GUAJIRA;VILLAVICENCIO-META;NACIONAL
HONDA-TOLIMA;MARSELLA-RISARALDA;NACIONAL
HONDA-TOLIMA;PACORA-CALDAS;NACIONAL
HONDA-TOLIMA;AGUADAS-CALDAS;NACIONAL
HONDA-TOLIMA;NEIRA-CALDAS;NACIONAL
HONDA-TOLIMA;LA PAILA-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;ESPINAL-TOLIMA;NACIONAL
HONDA-TOLIMA;PIVIJAY-MAGDALENA;NACIONAL
HATONUEVO-LA GUAJIRA;CANALETE-CORDOBA;NACIONAL
HATONUEVO-LA GUAJIRA;GALERAS-SUCRE;NACIONAL
HATONUEVO-LA GUAJIRA;PUERTO ESCONDIDO-CORDOBA;NACIONAL
HONDA-TOLIMA;CERETE-CORDOBA;NACIONAL
HONDA-TOLIMA;LORICA-CORDOBA;NACIONAL
HONDA-TOLIMA;PLANETA RICA-CORDOBA;NACIONAL
HONDA-TOLIMA;SAN JUAN DEL CESAR-LA GUAJIRA;NACIONAL
HONDA-TOLIMA;VILLANUEVA-LA GUAJIRA;NACIONAL
HONDA-TOLIMA;LA MINA-LA GUAJIRA(CAS);NACIONAL
HONDA-TOLIMA;CIENAGA DE ORO-CORDOBA;NACIONAL
HONDA-TOLIMA;SAN ANDRES DE SOTAVENTO-CORDOBA;NACIONAL
HONDA-TOLIMA;EL COPEY-CESAR;NACIONAL
HONDA-TOLIMA;PURISIMA-CORDOBA;NACIONAL
HONDA-TOLIMA;SAN PELAYO-CORDOBA;NACIONAL
HONDA-TOLIMA;CHINU-CORDOBA;NACIONAL
HONDA-TOLIMA;COVEÑAS-SUCRE;NACIONAL
HONDA-TOLIMA;SANTA ANA (M)-MAGDALENA;NACIONAL
HATONUEVO-LA GUAJIRA;SAN PEDRO-SUCRE;NACIONAL
HATONUEVO-LA GUAJIRA;PALMIRA-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;JAMUNDI-VALLE;NACIONAL
HATONUEVO-LA GUAJIRA;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
HONDA-TOLIMA;LA SIERRA-ANTIOQUIA(CORRGTO);NACIONAL
HONDA-TOLIMA;AMBALEMA-TOLIMA;NACIONAL
HONDA-TOLIMA;IPIALES-NARIÑO;NACIONAL
HONDA-TOLIMA;PASTO-NARIÑO;NACIONAL
HONDA-TOLIMA;POPAYAN-CAUCA;NACIONAL
HONDA-TOLIMA;UBALA-CUNDINAMARCA;NACIONAL
HATONUEVO-LA GUAJIRA;ZIPAQUIRA-CUNDINAMARCA;NACIONAL
HATONUEVO-LA GUAJIRA;CAJICA-CUNDINAMARCA;NACIONAL
