NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
ITAGUI-ANTIOQUIA;TASCO-BOYACA;NACIONAL
ITAGUI-ANTIOQUIA;MONGUI-BOYACA;NACIONAL
ITAGUI-ANTIOQUIA;TOPAGA-BOYACA;NACIONAL
ITAGUI-ANTIOQUIA;APARTADO-ANTIOQUIA;NACIONAL
ITAGUI-ANTIOQUIA;CAUCASIA-ANTIOQUIA;NACIONAL
ITAGUI-ANTIOQUIA;PUERTO BERRIO-ANTIOQUIA;NACIONAL
ITAGUI-ANTIOQUIA;GRANADA (M)-META;NACIONAL
ITAGUI-ANTIOQUIA;VILLAVICENCIO-META;NACIONAL
ITAGUI-ANTIOQUIA;YOPAL-CASANARE;NACIONAL
ITAGUI-ANTIOQUIA;TAURAMENA-CASANARE;NACIONAL
ITAGUI-ANTIOQUIA;AGUAZUL-CASANARE;NACIONAL
ITAGUI-ANTIOQUIA;ACACIAS-META;NACIONAL
ITAGUI-ANTIOQUIA;VILLANUEVA (C)-CASANARE;NACIONAL
ITAGUI-ANTIOQUIA;MONTERREY-CASANARE;NACIONAL
ITAGUI-ANTIOQUIA;GUAMAL-META;NACIONAL
ITAGUI-ANTIOQUIA;RESTREPO-META;NACIONAL
ITAGUI-ANTIOQUIA;CUMARAL-META;NACIONAL
ITAGUI-ANTIOQUIA;PUERTO LOPEZ-META;NACIONAL
ITAGUI-ANTIOQUIA;APIAY-META(CENTPOBL);NACIONAL
ITAGUI-ANTIOQUIA;CASTILLA LA NUEVA-META;NACIONAL
ITAGUI-ANTIOQUIA;PUERTO GAITAN-META;NACIONAL
ITAGUI-ANTIOQUIA;GUAYABETAL-CUNDINAMARCA;NACIONAL
ITAGUI-ANTIOQUIA;BUENAVENTURA-VALLE;NACIONAL
ITAGUI-ANTIOQUIA;IPIALES-NARIÑO;NACIONAL
ITAGUI-ANTIOQUIA;PASTO-NARIÑO;NACIONAL
ITAGUI-ANTIOQUIA;POPAYAN-CAUCA;NACIONAL
ITAGUI-ANTIOQUIA;DORADAL-ANTIOQUIA(CORRGTO);NACIONAL
