NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
JUAN DE ACOSTA-ATLANTICO;SAN ONOFRE-SUCRE;NACIONAL
JUAN DE ACOSTA-ATLANTICO;URIBIA-LA GUAJIRA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;MARIA LA BAJA B-BOLIVAR;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);SAN ONOFRE-SUCRE;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);MARIA LA BAJA B-BOLIVAR;NACIONAL
JAMUNDI-VALLE;BARRANQUILLA-ATLANTICO;NACIONAL
JAMUNDI-VALLE;TASCO-BOYACA;NACIONAL
JAMUNDI-VALLE;FLORIDABLANCA-SANTANDER;NACIONAL
JAMUNDI-VALLE;MONGUI-BOYACA;NACIONAL
JAMUNDI-VALLE;TURBACO B-BOLIVAR;NACIONAL
JAMUNDI-VALLE;MARINILLA-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;GUARNE-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;RETIRO-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;PUERTO BOYACA-BOYACA;NACIONAL
JAMUNDI-VALLE;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
JAMUNDI-VALLE;SAMANIEGO-NARIÑO;NACIONAL
JAMUNDI-VALLE;PUERTO TRIUNFO-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;MARSELLA-RISARALDA;NACIONAL
JAMUNDI-VALLE;PACORA-CALDAS;NACIONAL
JAMUNDI-VALLE;DORADAL-ANTIOQUIA(CORRGTO);NACIONAL
JAMUNDI-VALLE;AGUADAS-CALDAS;NACIONAL
JAMUNDI-VALLE;NEIRA-CALDAS;NACIONAL
JAMUNDI-VALLE;ARMENIA (Q)-QUINDIO;NACIONAL
JAMUNDI-VALLE;CARTAGO-VALLE;NACIONAL
JAMUNDI-VALLE;DOSQUEBRADAS-RISARALDA;NACIONAL
JAMUNDI-VALLE;CHINCHINA-CALDAS;NACIONAL
JAMUNDI-VALLE;MANIZALES-CALDAS;NACIONAL
JAMUNDI-VALLE;PEREIRA-RISARALDA;NACIONAL
JAMUNDI-VALLE;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
JAMUNDI-VALLE;LA UNION (V)-VALLE;NACIONAL
JAMUNDI-VALLE;ROLDANILLO-VALLE;NACIONAL
JAMUNDI-VALLE;CALARCA-QUINDIO;NACIONAL
JAMUNDI-VALLE;ANSERMA-CALDAS;NACIONAL
JAMUNDI-VALLE;SEVILLA-VALLE;NACIONAL
JAMUNDI-VALLE;LA VIRGINIA-RISARALDA;NACIONAL
JAMUNDI-VALLE;LA TEBAIDA-QUINDIO;NACIONAL
JAMUNDI-VALLE;CAICEDONIA-VALLE;NACIONAL
JAMUNDI-VALLE;BELEN DE UMBRIA-RISARALDA;NACIONAL
JAMUNDI-VALLE;MONTENEGRO-QUINDIO;NACIONAL
JAMUNDI-VALLE;VILLAMARIA-CALDAS;NACIONAL
JAMUNDI-VALLE;ZARZAL-VALLE;NACIONAL
JAMUNDI-VALLE;MEDELLIN-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;ITAGUI-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;ENVIGADO-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;BELLO-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;CALDAS-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;COPACABANA-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;GIRARDOTA-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;LA ESTRELLA-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;SABANETA-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;BARBOSA-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
JAMUNDI-VALLE;IPIALES-NARIÑO;NACIONAL
JAMUNDI-VALLE;PASTO-NARIÑO;NACIONAL
JUAN DE ACOSTA-ATLANTICO;TURBACO B-BOLIVAR;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);TURBACO B-BOLIVAR;NACIONAL
JERICO-ANTIOQUIA;BUGA-VALLE;NACIONAL
JERICO-ANTIOQUIA;TULUA-VALLE;NACIONAL
JUAN DE ACOSTA-ATLANTICO;MEDELLIN-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;ITAGUI-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;ENVIGADO-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;BELLO-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;CALDAS-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;COPACABANA-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;SABANETA-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);MEDELLIN-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);ITAGUI-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);ENVIGADO-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);BELLO-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);CALDAS-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);COPACABANA-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);GIRARDOTA-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);LA ESTRELLA-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);SABANETA-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);BARBOSA-ANTIOQUIA;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
JUAN DE ACOSTA-ATLANTICO;BUGA-VALLE;NACIONAL
JUAN DE ACOSTA-ATLANTICO;TULUA-VALLE;NACIONAL
JUAN DE ACOSTA-ATLANTICO;YUMBO-VALLE(CORRGTO);NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);BUENAVENTURA-VALLE;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);BUGA-VALLE;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);TULUA-VALLE;NACIONAL
JUAN MINA-ATLANTICO(CORRGTO);YUMBO-VALLE(CORRGTO);NACIONAL
