NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
LA PAZ-CESAR;ARMENIA (Q)-QUINDIO;NACIONAL
LA PAZ-CESAR;CARTAGO-VALLE;NACIONAL
LA PAZ-CESAR;DOSQUEBRADAS-RISARALDA;NACIONAL
LA PAZ-CESAR;CHINCHINA-CALDAS;NACIONAL
LA PAZ-CESAR;MANIZALES-CALDAS;NACIONAL
LA PAZ-CESAR;PEREIRA-RISARALDA;NACIONAL
LA PAZ-CESAR;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
LA PAZ-CESAR;LA UNION (V)-VALLE;NACIONAL
LA PAZ-CESAR;ROLDANILLO-VALLE;NACIONAL
LA PAZ-CESAR;CALARCA-QUINDIO;NACIONAL
LA PAZ-CESAR;ANSERMA-CALDAS;NACIONAL
LA PAZ-CESAR;LA VIRGINIA-RISARALDA;NACIONAL
LA PAZ-CESAR;LA TEBAIDA-QUINDIO;NACIONAL
LA PAZ-CESAR;MONTENEGRO-QUINDIO;NACIONAL
LA PAZ-CESAR;VILLAMARIA-CALDAS;NACIONAL
LA PAZ-CESAR;ZARZAL-VALLE;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);ARMENIA (Q)-QUINDIO;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);CARTAGO-VALLE;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);DOSQUEBRADAS-RISARALDA;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);CHINCHINA-CALDAS;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);MANIZALES-CALDAS;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);PEREIRA-RISARALDA;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);SANTA ROSA DE CABAL-RISARALDA;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);LA UNION (V)-VALLE;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);ROLDANILLO-VALLE;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);CALARCA-QUINDIO;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);ANSERMA-CALDAS;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);LA VIRGINIA-RISARALDA;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);LA TEBAIDA-QUINDIO;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);MONTENEGRO-QUINDIO;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);VILLAMARIA-CALDAS;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);ZARZAL-VALLE;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);ARMENIA (Q)-QUINDIO;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);CARTAGO-VALLE;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);DOSQUEBRADAS-RISARALDA;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);CHINCHINA-CALDAS;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);MANIZALES-CALDAS;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);PEREIRA-RISARALDA;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);SANTA ROSA DE CABAL-RISARALDA;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);LA UNION (V)-VALLE;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);ROLDANILLO-VALLE;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);CALARCA-QUINDIO;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);ANSERMA-CALDAS;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);SEVILLA-VALLE;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);LA VIRGINIA-RISARALDA;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);LA TEBAIDA-QUINDIO;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);CAICEDONIA-VALLE;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);BELEN DE UMBRIA-RISARALDA;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);MONTENEGRO-QUINDIO;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);VILLAMARIA-CALDAS;NACIONAL
LA PAZ-LA GUAJIRA(CENTPOBL);ZARZAL-VALLE;NACIONAL
LORICA-CORDOBA;BARRANQUILLA-ATLANTICO;NACIONAL
LORICA-CORDOBA;MARIA LA BAJA B-BOLIVAR;NACIONAL
LA MINA-LA GUAJIRA(CAS);BARRANQUILLA-ATLANTICO;NACIONAL
LA MINA-LA GUAJIRA(CAS);SAN ONOFRE-SUCRE;NACIONAL
LA MINA-LA GUAJIRA(CAS);TURBACO B-BOLIVAR;NACIONAL
LA MINA-LA GUAJIRA(CAS);URIBIA-LA GUAJIRA;NACIONAL
LA MINA-LA GUAJIRA(CAS);MARIA LA BAJA B-BOLIVAR;NACIONAL
LURUACO-ATLANTICO;SAN ONOFRE-SUCRE;NACIONAL
LURUACO-ATLANTICO;URIBIA-LA GUAJIRA;NACIONAL
LURUACO-ATLANTICO;MARIA LA BAJA B-BOLIVAR;NACIONAL
LA PAZ-CESAR;BARRANQUILLA-ATLANTICO;NACIONAL
LA PAZ-CESAR;SAN ONOFRE-SUCRE;NACIONAL
LA PAZ-CESAR;TURBACO B-BOLIVAR;NACIONAL
LA PAZ-CESAR;URIBIA-LA GUAJIRA;NACIONAL
LA PAZ-CESAR;MARIA LA BAJA B-BOLIVAR;NACIONAL
LA JAGUA DE IBIRICO-CESAR;BARRANQUILLA-ATLANTICO;NACIONAL
LA JAGUA DE IBIRICO-CESAR;SAN ONOFRE-SUCRE;NACIONAL
LA JAGUA DE IBIRICO-CESAR;TURBACO B-BOLIVAR;NACIONAL
LA JAGUA DE IBIRICO-CESAR;URIBIA-LA GUAJIRA;NACIONAL
LA JAGUA DE IBIRICO-CESAR;MARIA LA BAJA B-BOLIVAR;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);SAN ONOFRE-SUCRE;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);URIBIA-LA GUAJIRA;NACIONAL
LA GRAN VIA-MAGDALENA(CORRGTO);MARIA LA BAJA B-BOLIVAR;NACIONAL
LA LOMA-CESAR(CORRGTO);BARRANQUILLA-ATLANTICO;NACIONAL
LA LOMA-CESAR(CORRGTO);SAN ONOFRE-SUCRE;NACIONAL
LA LOMA-CESAR(CORRGTO);TURBACO B-BOLIVAR;NACIONAL
LA LOMA-CESAR(CORRGTO);URIBIA-LA GUAJIRA;NACIONAL
LA LOMA-CESAR(CORRGTO);MARIA LA BAJA B-BOLIVAR;NACIONAL
LOS PALMITOS-SUCRE;BARRANQUILLA-ATLANTICO;NACIONAL
LOS PALMITOS-SUCRE;SAN ONOFRE-SUCRE;NACIONAL
LOS PALMITOS-SUCRE;TURBACO B-BOLIVAR;NACIONAL
LOS PALMITOS-SUCRE;URIBIA-LA GUAJIRA;NACIONAL
