NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
MONTERIA-CORDOBA;ARMENIA (Q)-QUINDIO;NACIONAL
MONTERIA-CORDOBA;CARTAGO-VALLE;NACIONAL
MONTERIA-CORDOBA;DOSQUEBRADAS-RISARALDA;NACIONAL
MONTERIA-CORDOBA;CHINCHINA-CALDAS;NACIONAL
MONTERIA-CORDOBA;MANIZALES-CALDAS;NACIONAL
MONTERIA-CORDOBA;PEREIRA-RISARALDA;NACIONAL
MONTERIA-CORDOBA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
MONTERIA-CORDOBA;LA UNION (V)-VALLE;NACIONAL
MONTERIA-CORDOBA;ROLDANILLO-VALLE;NACIONAL
MONTERIA-CORDOBA;CALARCA-QUINDIO;NACIONAL
MONTERIA-CORDOBA;ANSERMA-CALDAS;NACIONAL
MONTERIA-CORDOBA;SEVILLA-VALLE;NACIONAL
MONTERIA-CORDOBA;LA VIRGINIA-RISARALDA;NACIONAL
MONTERIA-CORDOBA;LA TEBAIDA-QUINDIO;NACIONAL
MONTERIA-CORDOBA;CAICEDONIA-VALLE;NACIONAL
MONTERIA-CORDOBA;BELEN DE UMBRIA-RISARALDA;NACIONAL
MONTERIA-CORDOBA;MONTENEGRO-QUINDIO;NACIONAL
MONTERIA-CORDOBA;VILLAMARIA-CALDAS;NACIONAL
MONTERIA-CORDOBA;ZARZAL-VALLE;NACIONAL
MONTERIA-CORDOBA;ANSERMA NUEVO-VALLE;NACIONAL
MAICAO-LA GUAJIRA;ARMENIA (Q)-QUINDIO;NACIONAL
MAICAO-LA GUAJIRA;CARTAGO-VALLE;NACIONAL
MAICAO-LA GUAJIRA;DOSQUEBRADAS-RISARALDA;NACIONAL
MAICAO-LA GUAJIRA;CHINCHINA-CALDAS;NACIONAL
MAICAO-LA GUAJIRA;MANIZALES-CALDAS;NACIONAL
MAICAO-LA GUAJIRA;PEREIRA-RISARALDA;NACIONAL
MAICAO-LA GUAJIRA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
MAICAO-LA GUAJIRA;LA UNION (V)-VALLE;NACIONAL
MAICAO-LA GUAJIRA;ROLDANILLO-VALLE;NACIONAL
MAICAO-LA GUAJIRA;CALARCA-QUINDIO;NACIONAL
