NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
NUEVA GRANADA (M)-MAGDALENA;BARRANQUILLA-ATLANTICO;NACIONAL
NUEVA GRANADA (M)-MAGDALENA;SAN ONOFRE-SUCRE;NACIONAL
NUEVA GRANADA (M)-MAGDALENA;TURBACO B-BOLIVAR;NACIONAL
NUEVA GRANADA (M)-MAGDALENA;URIBIA-LA GUAJIRA;NACIONAL
NUEVA GRANADA (M)-MAGDALENA;MARIA LA BAJA B-BOLIVAR;NACIONAL
NOBSA-BOYACA;BUGA-VALLE;NACIONAL
NOBSA-BOYACA;GRANADA (M)-META;NACIONAL
NOBSA-BOYACA;ESPINAL-TOLIMA;NACIONAL
NOBSA-BOYACA;MEDELLIN-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;PALMIRA-VALLE;NACIONAL
NOBSA-BOYACA;SANTANDER DE QUILICHAO-CAUCA;NACIONAL
NOBSA-BOYACA;ITAGUI-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;TULUA-VALLE;NACIONAL
NOBSA-BOYACA;ENVIGADO-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;VILLAVICENCIO-META;NACIONAL
NOBSA-BOYACA;YOPAL-CASANARE;NACIONAL
NOBSA-BOYACA;BELLO-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;PUERTO TEJADA-CAUCA;NACIONAL
NOBSA-BOYACA;TAURAMENA-CASANARE;NACIONAL
NOBSA-BOYACA;AGUAZUL-CASANARE;NACIONAL
NOBSA-BOYACA;CALDAS-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;COPACABANA-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;GIRARDOTA-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;ACACIAS-META;NACIONAL
NOBSA-BOYACA;VILLANUEVA (C)-CASANARE;NACIONAL
NOBSA-BOYACA;MONTERREY-CASANARE;NACIONAL
NOBSA-BOYACA;ANDALUCIA-VALLE;NACIONAL
NOBSA-BOYACA;GUAMAL-META;NACIONAL
NOBSA-BOYACA;RESTREPO-META;NACIONAL
NOBSA-BOYACA;YUMBO-VALLE(CORRGTO);NACIONAL
NOBSA-BOYACA;PRADERA-VALLE;NACIONAL
NOBSA-BOYACA;GUADUAS-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;CAQUEZA-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;BUGALAGRANDE-VALLE;NACIONAL
NOBSA-BOYACA;JAMUNDI-VALLE;NACIONAL
NOBSA-BOYACA;CUMARAL-META;NACIONAL
NOBSA-BOYACA;EL CERRITO-VALLE;NACIONAL
NOBSA-BOYACA;FLORIDA-VALLE;NACIONAL
NOBSA-BOYACA;GINEBRA-VALLE;NACIONAL
NOBSA-BOYACA;GUACARI-VALLE;NACIONAL
NOBSA-BOYACA;LA ESTRELLA-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;PUERTO LOPEZ-META;NACIONAL
NOBSA-BOYACA;SABANETA-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;BARBOSA-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;CHIPAQUE-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;CARMEN DE APICALA-TOLIMA;NACIONAL
NOBSA-BOYACA;ICONONZO-TOLIMA;NACIONAL
NOBSA-BOYACA;CHOACHI-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;FOMEQUE-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;FLANDES-TOLIMA;NACIONAL
NOBSA-BOYACA;VILLA RICA-CAUCA;NACIONAL
NOBSA-BOYACA;CANDELARIA-VALLE(CORRGTO);NACIONAL
NOBSA-BOYACA;APIAY-META(CENTPOBL);NACIONAL
NOBSA-BOYACA;CASTILLA LA NUEVA-META;NACIONAL
NOBSA-BOYACA;PUERTO GAITAN-META;NACIONAL
NOBSA-BOYACA;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
NOBSA-BOYACA;CAPARRAPI-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;GUAYABETAL-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;GUAYABAL DE SIQUIMA-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;SAN JUAN DE RIO SECO-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;YACOPI-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;ROZO-VALLE(CORRGTO);NACIONAL
NOBSA-BOYACA;NILO-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;PUEBLO BELLO-CESAR;NACIONAL
NOBSA-BOYACA;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
NILO-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
NOBSA-BOYACA;ARMENIA (Q)-QUINDIO;NACIONAL
NOBSA-BOYACA;CARTAGO-VALLE;NACIONAL
NOBSA-BOYACA;DOSQUEBRADAS-RISARALDA;NACIONAL
NOBSA-BOYACA;CHINCHINA-CALDAS;NACIONAL
NOBSA-BOYACA;MANIZALES-CALDAS;NACIONAL
NOBSA-BOYACA;PEREIRA-RISARALDA;NACIONAL
NOBSA-BOYACA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
NOBSA-BOYACA;LA UNION (V)-VALLE;NACIONAL
NOBSA-BOYACA;ROLDANILLO-VALLE;NACIONAL
NOBSA-BOYACA;CALARCA-QUINDIO;NACIONAL
NOBSA-BOYACA;PUERTO BOYACA-BOYACA;NACIONAL
NOBSA-BOYACA;ANSERMA-CALDAS;NACIONAL
NOBSA-BOYACA;SEVILLA-VALLE;NACIONAL
NOBSA-BOYACA;LA VIRGINIA-RISARALDA;NACIONAL
NOBSA-BOYACA;LA TEBAIDA-QUINDIO;NACIONAL
NOBSA-BOYACA;CAICEDONIA-VALLE;NACIONAL
NOBSA-BOYACA;BELEN DE UMBRIA-RISARALDA;NACIONAL
NOBSA-BOYACA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
NOBSA-BOYACA;MONTENEGRO-QUINDIO;NACIONAL
NOBSA-BOYACA;VILLAMARIA-CALDAS;NACIONAL
NOBSA-BOYACA;ZARZAL-VALLE;NACIONAL
NOBSA-BOYACA;ANSERMA NUEVO-VALLE;NACIONAL
NOBSA-BOYACA;BARRANQUILLA-ATLANTICO;NACIONAL
NOBSA-BOYACA;BOSCONIA-CESAR;NACIONAL
NOBSA-BOYACA;CIENAGA-MAGDALENA;NACIONAL
NOBSA-BOYACA;MONTERIA-CORDOBA;NACIONAL
NOBSA-BOYACA;FUNDACION-MAGDALENA;NACIONAL
NOBSA-BOYACA;MAGANGUE-BOLIVAR;NACIONAL
NOBSA-BOYACA;RIOHACHA-LA GUAJIRA;NACIONAL
NOBSA-BOYACA;SANTA MARTA-MAGDALENA;NACIONAL
