NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
OPORAPA-HUILA;CARTAGO-VALLE;NACIONAL
OPORAPA-HUILA;DOSQUEBRADAS-RISARALDA;NACIONAL
OPORAPA-HUILA;CHINCHINA-CALDAS;NACIONAL
OPORAPA-HUILA;MANIZALES-CALDAS;NACIONAL
OPORAPA-HUILA;PEREIRA-RISARALDA;NACIONAL
OPORAPA-HUILA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
OPORAPA-HUILA;LA UNION (V)-VALLE;NACIONAL
OPORAPA-HUILA;ROLDANILLO-VALLE;NACIONAL
OPORAPA-HUILA;ANSERMA-CALDAS;NACIONAL
OPORAPA-HUILA;LA VIRGINIA-RISARALDA;NACIONAL
OPORAPA-HUILA;BELEN DE UMBRIA-RISARALDA;NACIONAL
OPORAPA-HUILA;VILLAMARIA-CALDAS;NACIONAL
OPORAPA-HUILA;ZARZAL-VALLE;NACIONAL
OCAÑA-NORTE DE SANTANDER;GAIRA-MAGDALENA;NACIONAL
OIBA-SANTANDER;GAIRA-MAGDALENA;NACIONAL
OPORAPA-HUILA;BUENAVENTURA-VALLE;NACIONAL
OPORAPA-HUILA;BUGA-VALLE;NACIONAL
OPORAPA-HUILA;IPIALES-NARIÑO;NACIONAL
OPORAPA-HUILA;PASTO-NARIÑO;NACIONAL
OPORAPA-HUILA;PALMIRA-VALLE;NACIONAL
OPORAPA-HUILA;POPAYAN-CAUCA;NACIONAL
OPORAPA-HUILA;SANTANDER DE QUILICHAO-CAUCA;NACIONAL
OPORAPA-HUILA;TULUA-VALLE;NACIONAL
OPORAPA-HUILA;YUMBO-VALLE(CORRGTO);NACIONAL
OPORAPA-HUILA;PRADERA-VALLE;NACIONAL
OPORAPA-HUILA;JAMUNDI-VALLE;NACIONAL
OPORAPA-HUILA;VILLA RICA-CAUCA;NACIONAL
OPORAPA-HUILA;MEDELLIN-ANTIOQUIA;NACIONAL
OPORAPA-HUILA;FLORIDABLANCA-SANTANDER;NACIONAL
OPORAPA-HUILA;ARMENIA (Q)-QUINDIO;NACIONAL
OPORAPA-HUILA;CALARCA-QUINDIO;NACIONAL
OPORAPA-HUILA;PUERTO BOYACA-BOYACA;NACIONAL
OPORAPA-HUILA;SEVILLA-VALLE;NACIONAL
OPORAPA-HUILA;LA TEBAIDA-QUINDIO;NACIONAL
OPORAPA-HUILA;CAICEDONIA-VALLE;NACIONAL
OPORAPA-HUILA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
OPORAPA-HUILA;MONTENEGRO-QUINDIO;NACIONAL
OPORAPA-HUILA;CAJAMARCA-TOLIMA;NACIONAL
OPORAPA-HUILA;BUENOS AIRES-TOLIMA(CAS);NACIONAL
OROCUE-CASANARE;MONGUI-BOYACA;NACIONAL
OPORAPA-HUILA;ITAGUI-ANTIOQUIA;NACIONAL
OPORAPA-HUILA;ENVIGADO-ANTIOQUIA;NACIONAL
OPORAPA-HUILA;BELLO-ANTIOQUIA;NACIONAL
OPORAPA-HUILA;CALDAS-ANTIOQUIA;NACIONAL
OPORAPA-HUILA;COPACABANA-ANTIOQUIA;NACIONAL
