NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
PLANETA RICA-CORDOBA;BARRANQUILLA-ATLANTICO;NACIONAL
PLANETA RICA-CORDOBA;MARIA LA BAJA B-BOLIVAR;NACIONAL
PLATO-MAGDALENA;URIBIA-LA GUAJIRA;NACIONAL
PLATO-MAGDALENA;MARIA LA BAJA B-BOLIVAR;NACIONAL
POLONUEVO-ATLANTICO;URIBIA-LA GUAJIRA;NACIONAL
PALMAR DE VARELA-ATLANTICO;BARRANQUILLA-ATLANTICO;NACIONAL
PALMAR DE VARELA-ATLANTICO;SAN ONOFRE-SUCRE;NACIONAL
PALMAR DE VARELA-ATLANTICO;URIBIA-LA GUAJIRA;NACIONAL
PALMAR DE VARELA-ATLANTICO;MARIA LA BAJA B-BOLIVAR;NACIONAL
PASACABALLOS-BOLIVAR(CORRGTO);URIBIA-LA GUAJIRA;NACIONAL
PEREIRA-RISARALDA;BUENAVENTURA-VALLE;NACIONAL
PEREIRA-RISARALDA;IPIALES-NARIÑO;NACIONAL
PEREIRA-RISARALDA;PASTO-NARIÑO;NACIONAL
PEREIRA-RISARALDA;POPAYAN-CAUCA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);BUGA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);PALMIRA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);SANTANDER DE QUILICHAO-CAUCA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);TULUA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);YUMBO-VALLE(CORRGTO);NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);PRADERA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);BUGALAGRANDE-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);JAMUNDI-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);EL CERRITO-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);FLORIDA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);GINEBRA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);GUACARI-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);CANDELARIA-VALLE(CORRGTO);NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);ROZO-VALLE(CORRGTO);NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);VILLA GORGONA-VALLE(CORRGTO);NACIONAL
PEREIRA-RISARALDA;PUERTO BOYACA-BOYACA;NACIONAL
PEREIRA-RISARALDA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);ARMENIA (Q)-QUINDIO;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);CARTAGO-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);DOSQUEBRADAS-RISARALDA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);CHINCHINA-CALDAS;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);MANIZALES-CALDAS;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);PEREIRA-RISARALDA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);SANTA ROSA DE CABAL-RISARALDA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);LA UNION (V)-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);ROLDANILLO-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);CALARCA-QUINDIO;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);ANSERMA-CALDAS;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);SEVILLA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);LA VIRGINIA-RISARALDA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);LA TEBAIDA-QUINDIO;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);CAICEDONIA-VALLE;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);BELEN DE UMBRIA-RISARALDA;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);MONTENEGRO-QUINDIO;NACIONAL
PUERTO BOGOTA-CUNDINAMARCA(INSPOLMUN);VILLAMARIA-CALDAS;NACIONAL
