NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
QUIBDO-CHOCO;LA SIERRA-ANTIOQUIA(CORRGTO);NACIONAL
QUIBDO-CHOCO;SAN ANTONIO-TOLIMA;NACIONAL
QUIPILE-CUNDINAMARCA;SAN ANTONIO-TOLIMA;NACIONAL
QUIBDO-CHOCO;MEDELLIN-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;ITAGUI-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;ENVIGADO-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;BELLO-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;CALDAS-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;COPACABANA-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;GIRARDOTA-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;LA ESTRELLA-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;SABANETA-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;BARBOSA-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
QUIBDO-CHOCO;IPIALES-NARIÑO;ESPECIAL
QUIBDO-CHOCO;PASTO-NARIÑO;ESPECIAL
QUIBDO-CHOCO;POPAYAN-CAUCA;ESPECIAL
QUIBDO-CHOCO;TRUJILLO-VALLE;ESPECIAL
QUIBDO-CHOCO;SAN PEDRO(V)-VALLE;ESPECIAL
QUIBDO-CHOCO;VILLA GORGONA-VALLE(CORRGTO);ESPECIAL
QUIPILE-CUNDINAMARCA;BUGA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;PALMIRA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;SANTANDER DE QUILICHAO-CAUCA;ESPECIAL
QUIPILE-CUNDINAMARCA;TULUA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;PUERTO TEJADA-CAUCA;ESPECIAL
QUIPILE-CUNDINAMARCA;ANDALUCIA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;YUMBO-VALLE(CORRGTO);ESPECIAL
QUIPILE-CUNDINAMARCA;PRADERA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;BUGALAGRANDE-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;JAMUNDI-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;EL CERRITO-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;FLORIDA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;GINEBRA-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;GUACARI-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;CORINTO-CAUCA;ESPECIAL
QUIPILE-CUNDINAMARCA;CALOTO-CAUCA;ESPECIAL
QUIPILE-CUNDINAMARCA;YOTOCO-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;TRUJILLO-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;VILLA RICA-CAUCA;ESPECIAL
QUIPILE-CUNDINAMARCA;CANDELARIA-VALLE(CORRGTO);ESPECIAL
QUIPILE-CUNDINAMARCA;ROZO-VALLE(CORRGTO);ESPECIAL
QUIPILE-CUNDINAMARCA;SAN PEDRO(V)-VALLE;ESPECIAL
QUIPILE-CUNDINAMARCA;VILLA GORGONA-VALLE(CORRGTO);ESPECIAL
QUIBDO-CHOCO;MEDINA-CUNDINAMARCA;ESPECIAL
QUIPILE-CUNDINAMARCA;GRANADA (M)-META;ESPECIAL
