NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
RIOHACHA-LA GUAJIRA;ARMENIA (Q)-QUINDIO;NACIONAL
RIOHACHA-LA GUAJIRA;CARTAGO-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;DOSQUEBRADAS-RISARALDA;NACIONAL
RIOHACHA-LA GUAJIRA;CHINCHINA-CALDAS;NACIONAL
RIOHACHA-LA GUAJIRA;MANIZALES-CALDAS;NACIONAL
RIOHACHA-LA GUAJIRA;PEREIRA-RISARALDA;NACIONAL
RIOHACHA-LA GUAJIRA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
RIOHACHA-LA GUAJIRA;LA UNION (V)-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;ROLDANILLO-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;CALARCA-QUINDIO;NACIONAL
RIOHACHA-LA GUAJIRA;ANSERMA-CALDAS;NACIONAL
RIOHACHA-LA GUAJIRA;SEVILLA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;LA VIRGINIA-RISARALDA;NACIONAL
RIOHACHA-LA GUAJIRA;LA TEBAIDA-QUINDIO;NACIONAL
RIOHACHA-LA GUAJIRA;CAICEDONIA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;BELEN DE UMBRIA-RISARALDA;NACIONAL
RIOHACHA-LA GUAJIRA;MONTENEGRO-QUINDIO;NACIONAL
RIOHACHA-LA GUAJIRA;VILLAMARIA-CALDAS;NACIONAL
RIOHACHA-LA GUAJIRA;ZARZAL-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;ANSERMA NUEVO-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;BOSCONIA-CESAR;NACIONAL
RIOHACHA-LA GUAJIRA;MOMPOS-BOLIVAR;NACIONAL
RIOHACHA-LA GUAJIRA;LORICA-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;PLANETA RICA-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;TOLU-SUCRE;NACIONAL
RIOHACHA-LA GUAJIRA;SAN MARCOS-SUCRE;NACIONAL
RIOHACHA-LA GUAJIRA;COVEÑAS-SUCRE;NACIONAL
RIOHACHA-LA GUAJIRA;CIENAGA DE ORO-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;SAN ANDRES DE SOTAVENTO-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;SAN ANTERO-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;SAN PELAYO-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;LA PAZ-CESAR;NACIONAL
RIOHACHA-LA GUAJIRA;PIVIJAY-MAGDALENA;NACIONAL
RIOHACHA-LA GUAJIRA;SAN DIEGO-CESAR;NACIONAL
RIOHACHA-LA GUAJIRA;BECERRIL-CESAR;NACIONAL
RIOHACHA-LA GUAJIRA;SAMPUES-SUCRE;NACIONAL
RIOHACHA-LA GUAJIRA;SAN ONOFRE-SUCRE;NACIONAL
RIOHACHA-LA GUAJIRA;EL COPEY-CESAR;NACIONAL
RIOHACHA-LA GUAJIRA;MOMIL-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;MARIA LA BAJA B-BOLIVAR;NACIONAL
RIOHACHA-LA GUAJIRA;COTORRA (I)-CORDOBA;NACIONAL
RIOHACHA-LA GUAJIRA;OVEJAS-SUCRE;NACIONAL
RIOHACHA-LA GUAJIRA;PASACABALLOS-BOLIVAR(CORRGTO);NACIONAL
RIOHACHA-LA GUAJIRA;SANTA ANA (M)-MAGDALENA;NACIONAL
RIOHACHA-LA GUAJIRA;MEDELLIN-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;ITAGUI-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;ENVIGADO-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;BELLO-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;CALDAS-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;COPACABANA-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;GIRARDOTA-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;LA ESTRELLA-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;SABANETA-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;BARBOSA-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
RIOHACHA-LA GUAJIRA;BUENAVENTURA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;BUGA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;PALMIRA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;SANTANDER DE QUILICHAO-CAUCA;NACIONAL
RIOHACHA-LA GUAJIRA;TULUA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;PUERTO TEJADA-CAUCA;NACIONAL
RIOHACHA-LA GUAJIRA;ANDALUCIA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;YUMBO-VALLE(CORRGTO);NACIONAL
RIOHACHA-LA GUAJIRA;PRADERA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;BUGALAGRANDE-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;JAMUNDI-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;EL CERRITO-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;FLORIDA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;GINEBRA-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;GUACARI-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;YOTOCO-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;VILLA RICA-CAUCA;NACIONAL
RIOHACHA-LA GUAJIRA;CANDELARIA-VALLE(CORRGTO);NACIONAL
RIOHACHA-LA GUAJIRA;ROZO-VALLE(CORRGTO);NACIONAL
RIOHACHA-LA GUAJIRA;SAN PEDRO(V)-VALLE;NACIONAL
RIOHACHA-LA GUAJIRA;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
RIOHACHA-LA GUAJIRA;ZIPAQUIRA-CUNDINAMARCA;NACIONAL
RIOHACHA-LA GUAJIRA;VILLETA-CUNDINAMARCA;NACIONAL
