NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
SANTA MARTA-MAGDALENA;ARMENIA (Q)-QUINDIO;NACIONAL
SANTA MARTA-MAGDALENA;CARTAGO-VALLE;NACIONAL
SANTA MARTA-MAGDALENA;DOSQUEBRADAS-RISARALDA;NACIONAL
SANTA MARTA-MAGDALENA;CHINCHINA-CALDAS;NACIONAL
SANTA MARTA-MAGDALENA;MANIZALES-CALDAS;NACIONAL
SANTA MARTA-MAGDALENA;PEREIRA-RISARALDA;NACIONAL
SANTA MARTA-MAGDALENA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
SANTA MARTA-MAGDALENA;LA UNION (V)-VALLE;NACIONAL
SANTA MARTA-MAGDALENA;ROLDANILLO-VALLE;NACIONAL
SANTA MARTA-MAGDALENA;CALARCA-QUINDIO;NACIONAL
SANTA MARTA-MAGDALENA;ANSERMA-CALDAS;NACIONAL
SANTA MARTA-MAGDALENA;SEVILLA-VALLE;NACIONAL
SANTA MARTA-MAGDALENA;LA VIRGINIA-RISARALDA;NACIONAL
SANTA MARTA-MAGDALENA;LA TEBAIDA-QUINDIO;NACIONAL
SANTA MARTA-MAGDALENA;CAICEDONIA-VALLE;NACIONAL
SANTA MARTA-MAGDALENA;BELEN DE UMBRIA-RISARALDA;NACIONAL
SANTA MARTA-MAGDALENA;MONTENEGRO-QUINDIO;NACIONAL
SANTA MARTA-MAGDALENA;VILLAMARIA-CALDAS;NACIONAL
SANTA MARTA-MAGDALENA;ZARZAL-VALLE;NACIONAL
SANTA MARTA-MAGDALENA;ANSERMA NUEVO-VALLE;NACIONAL
SINCELEJO-SUCRE;ARMENIA (Q)-QUINDIO;NACIONAL
SINCELEJO-SUCRE;CARTAGO-VALLE;NACIONAL
SINCELEJO-SUCRE;DOSQUEBRADAS-RISARALDA;NACIONAL
SINCELEJO-SUCRE;CHINCHINA-CALDAS;NACIONAL
SINCELEJO-SUCRE;MANIZALES-CALDAS;NACIONAL
SINCELEJO-SUCRE;PEREIRA-RISARALDA;NACIONAL
SINCELEJO-SUCRE;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
SINCELEJO-SUCRE;LA UNION (V)-VALLE;NACIONAL
SINCELEJO-SUCRE;ROLDANILLO-VALLE;NACIONAL
SINCELEJO-SUCRE;CALARCA-QUINDIO;NACIONAL
SINCELEJO-SUCRE;ANSERMA-CALDAS;NACIONAL
SINCELEJO-SUCRE;SEVILLA-VALLE;NACIONAL
SINCELEJO-SUCRE;LA VIRGINIA-RISARALDA;NACIONAL
SINCELEJO-SUCRE;LA TEBAIDA-QUINDIO;NACIONAL
SINCELEJO-SUCRE;CAICEDONIA-VALLE;NACIONAL
SINCELEJO-SUCRE;BELEN DE UMBRIA-RISARALDA;NACIONAL
SINCELEJO-SUCRE;MONTENEGRO-QUINDIO;NACIONAL
SINCELEJO-SUCRE;VILLAMARIA-CALDAS;NACIONAL
SINCELEJO-SUCRE;ZARZAL-VALLE;NACIONAL
SINCELEJO-SUCRE;ANSERMA NUEVO-VALLE;NACIONAL
SAN JACINTO-BOLIVAR;ARMENIA (Q)-QUINDIO;NACIONAL
SAN JACINTO-BOLIVAR;CARTAGO-VALLE;NACIONAL
SAN JACINTO-BOLIVAR;DOSQUEBRADAS-RISARALDA;NACIONAL
SAN JACINTO-BOLIVAR;CHINCHINA-CALDAS;NACIONAL
SAN JACINTO-BOLIVAR;MANIZALES-CALDAS;NACIONAL
SAN JACINTO-BOLIVAR;PEREIRA-RISARALDA;NACIONAL
SAN JACINTO-BOLIVAR;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
SAN JACINTO-BOLIVAR;LA UNION (V)-VALLE;NACIONAL
SAN JACINTO-BOLIVAR;ROLDANILLO-VALLE;NACIONAL
SAN JACINTO-BOLIVAR;CALARCA-QUINDIO;NACIONAL
SAN JACINTO-BOLIVAR;ANSERMA-CALDAS;NACIONAL
SAN JACINTO-BOLIVAR;SEVILLA-VALLE;NACIONAL
SAN JACINTO-BOLIVAR;LA VIRGINIA-RISARALDA;NACIONAL
SAN JACINTO-BOLIVAR;LA TEBAIDA-QUINDIO;NACIONAL
SAN JACINTO-BOLIVAR;CAICEDONIA-VALLE;NACIONAL
SAN JACINTO-BOLIVAR;BELEN DE UMBRIA-RISARALDA;NACIONAL
SAN JACINTO-BOLIVAR;MONTENEGRO-QUINDIO;NACIONAL
SAN JACINTO-BOLIVAR;VILLAMARIA-CALDAS;NACIONAL
SAN JACINTO-BOLIVAR;ZARZAL-VALLE;NACIONAL
SAN ANTERO-CORDOBA;ARMENIA (Q)-QUINDIO;NACIONAL
SAN ANTERO-CORDOBA;CARTAGO-VALLE;NACIONAL
SAN ANTERO-CORDOBA;DOSQUEBRADAS-RISARALDA;NACIONAL
SAN ANTERO-CORDOBA;CHINCHINA-CALDAS;NACIONAL
SAN ANTERO-CORDOBA;MANIZALES-CALDAS;NACIONAL
SAN ANTERO-CORDOBA;PEREIRA-RISARALDA;NACIONAL
SAN ANTERO-CORDOBA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
SAN ANTERO-CORDOBA;LA UNION (V)-VALLE;NACIONAL
SAN ANTERO-CORDOBA;ROLDANILLO-VALLE;NACIONAL
SAN ANTERO-CORDOBA;CALARCA-QUINDIO;NACIONAL
SAN ANTERO-CORDOBA;ANSERMA-CALDAS;NACIONAL
SAN ANTERO-CORDOBA;SEVILLA-VALLE;NACIONAL
SAN ANTERO-CORDOBA;LA VIRGINIA-RISARALDA;NACIONAL
SAN ANTERO-CORDOBA;LA TEBAIDA-QUINDIO;NACIONAL
SAN ANTERO-CORDOBA;CAICEDONIA-VALLE;NACIONAL
SAN ANTERO-CORDOBA;BELEN DE UMBRIA-RISARALDA;NACIONAL
SAN ANTERO-CORDOBA;MONTENEGRO-QUINDIO;NACIONAL
SAN ANTERO-CORDOBA;VILLAMARIA-CALDAS;NACIONAL
SAN ANTERO-CORDOBA;ZARZAL-VALLE;NACIONAL
SINCE-SUCRE;ARMENIA (Q)-QUINDIO;NACIONAL
SINCE-SUCRE;CARTAGO-VALLE;NACIONAL
SINCE-SUCRE;DOSQUEBRADAS-RISARALDA;NACIONAL
SINCE-SUCRE;CHINCHINA-CALDAS;NACIONAL
SINCE-SUCRE;MANIZALES-CALDAS;NACIONAL
SINCE-SUCRE;PEREIRA-RISARALDA;NACIONAL
SINCE-SUCRE;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
SINCE-SUCRE;LA UNION (V)-VALLE;NACIONAL
SINCE-SUCRE;ROLDANILLO-VALLE;NACIONAL
SINCE-SUCRE;CALARCA-QUINDIO;NACIONAL
SINCE-SUCRE;ANSERMA-CALDAS;NACIONAL
SINCE-SUCRE;SEVILLA-VALLE;NACIONAL
SINCE-SUCRE;LA VIRGINIA-RISARALDA;NACIONAL
SINCE-SUCRE;LA TEBAIDA-QUINDIO;NACIONAL
SINCE-SUCRE;CAICEDONIA-VALLE;NACIONAL
SINCE-SUCRE;BELEN DE UMBRIA-RISARALDA;NACIONAL
