NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
TURBANA-BOLIVAR;ARMENIA (Q)-QUINDIO;NACIONAL
TURBANA-BOLIVAR;CARTAGO-VALLE;NACIONAL
TURBANA-BOLIVAR;DOSQUEBRADAS-RISARALDA;NACIONAL
TURBANA-BOLIVAR;CHINCHINA-CALDAS;NACIONAL
TURBANA-BOLIVAR;MANIZALES-CALDAS;NACIONAL
TURBANA-BOLIVAR;PEREIRA-RISARALDA;NACIONAL
TURBANA-BOLIVAR;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
TURBANA-BOLIVAR;LA UNION (V)-VALLE;NACIONAL
TURBANA-BOLIVAR;ROLDANILLO-VALLE;NACIONAL
TURBANA-BOLIVAR;CALARCA-QUINDIO;NACIONAL
TURBANA-BOLIVAR;ANSERMA-CALDAS;NACIONAL
TURBANA-BOLIVAR;SEVILLA-VALLE;NACIONAL
TURBANA-BOLIVAR;LA VIRGINIA-RISARALDA;NACIONAL
TURBANA-BOLIVAR;LA TEBAIDA-QUINDIO;NACIONAL
TURBANA-BOLIVAR;CAICEDONIA-VALLE;NACIONAL
TURBANA-BOLIVAR;BELEN DE UMBRIA-RISARALDA;NACIONAL
TURBANA-BOLIVAR;MONTENEGRO-QUINDIO;NACIONAL
TURBANA-BOLIVAR;VILLAMARIA-CALDAS;NACIONAL
TURBANA-BOLIVAR;ZARZAL-VALLE;NACIONAL
TURBACO B-BOLIVAR;ARMENIA (Q)-QUINDIO;NACIONAL
TURBACO B-BOLIVAR;CARTAGO-VALLE;NACIONAL
TURBACO B-BOLIVAR;DOSQUEBRADAS-RISARALDA;NACIONAL
TURBACO B-BOLIVAR;CHINCHINA-CALDAS;NACIONAL
TURBACO B-BOLIVAR;MANIZALES-CALDAS;NACIONAL
TURBACO B-BOLIVAR;PEREIRA-RISARALDA;NACIONAL
TURBACO B-BOLIVAR;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
TURBACO B-BOLIVAR;LA UNION (V)-VALLE;NACIONAL
TURBACO B-BOLIVAR;ROLDANILLO-VALLE;NACIONAL
TURBACO B-BOLIVAR;CALARCA-QUINDIO;NACIONAL
TURBACO B-BOLIVAR;ANSERMA-CALDAS;NACIONAL
TURBACO B-BOLIVAR;SEVILLA-VALLE;NACIONAL
TURBACO B-BOLIVAR;LA VIRGINIA-RISARALDA;NACIONAL
TURBACO B-BOLIVAR;LA TEBAIDA-QUINDIO;NACIONAL
TURBACO B-BOLIVAR;CAICEDONIA-VALLE;NACIONAL
TURBACO B-BOLIVAR;BELEN DE UMBRIA-RISARALDA;NACIONAL
TURBACO B-BOLIVAR;MONTENEGRO-QUINDIO;NACIONAL
TURBACO B-BOLIVAR;VILLAMARIA-CALDAS;NACIONAL
TURBACO B-BOLIVAR;ZARZAL-VALLE;NACIONAL
TOLU-SUCRE;URIBIA-LA GUAJIRA;NACIONAL
TIERRALTA-CORDOBA;URIBIA-LA GUAJIRA;NACIONAL
TURBACO B-BOLIVAR;URIBIA-LA GUAJIRA;NACIONAL
TUBARA-ATLANTICO;URIBIA-LA GUAJIRA;NACIONAL
TUBARA-ATLANTICO;MARIA LA BAJA B-BOLIVAR;NACIONAL
TURBANA-BOLIVAR;MEDELLIN-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;ITAGUI-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;ENVIGADO-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;BELLO-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;CALDAS-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;COPACABANA-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;GIRARDOTA-ANTIOQUIA;NACIONAL
TURBANA-BOLIVAR;LA ESTRELLA-ANTIOQUIA;NACIONAL
