NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
UBATE-CUNDINAMARCA;GAIRA-MAGDALENA;NACIONAL
UBATE-CUNDINAMARCA;PUEBLO BELLO-CESAR;NACIONAL
UNE-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
UBATE-CUNDINAMARCA;SANTA ANA (M)-MAGDALENA;NACIONAL
UBALA-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
UBATE-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
UBATE-CUNDINAMARCA;SAN PEDRO(V)-VALLE;NACIONAL
UTICA-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
URIBIA-LA GUAJIRA;URIBIA-LA GUAJIRA;NACIONAL
URIBIA-LA GUAJIRA;ARMENIA (Q)-QUINDIO;NACIONAL
URIBIA-LA GUAJIRA;CARTAGO-VALLE;NACIONAL
URIBIA-LA GUAJIRA;DOSQUEBRADAS-RISARALDA;NACIONAL
URIBIA-LA GUAJIRA;CHINCHINA-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;MANIZALES-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;PEREIRA-RISARALDA;NACIONAL
URIBIA-LA GUAJIRA;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
URIBIA-LA GUAJIRA;LA UNION (V)-VALLE;NACIONAL
URIBIA-LA GUAJIRA;ROLDANILLO-VALLE;NACIONAL
URIBIA-LA GUAJIRA;CALARCA-QUINDIO;NACIONAL
URIBIA-LA GUAJIRA;ANSERMA-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;SEVILLA-VALLE;NACIONAL
URIBIA-LA GUAJIRA;LA VIRGINIA-RISARALDA;NACIONAL
URIBIA-LA GUAJIRA;LA TEBAIDA-QUINDIO;NACIONAL
URIBIA-LA GUAJIRA;CAICEDONIA-VALLE;NACIONAL
URIBIA-LA GUAJIRA;BELEN DE UMBRIA-RISARALDA;NACIONAL
URIBIA-LA GUAJIRA;MONTENEGRO-QUINDIO;NACIONAL
URIBIA-LA GUAJIRA;VILLAMARIA-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;ZARZAL-VALLE;NACIONAL
URRAO-ANTIOQUIA;GAIRA-MAGDALENA;NACIONAL
URIBIA-LA GUAJIRA;BUENAVENTURA-VALLE;NACIONAL
URIBIA-LA GUAJIRA;BUGA-VALLE;NACIONAL
URIBIA-LA GUAJIRA;TULUA-VALLE;NACIONAL
URIBIA-LA GUAJIRA;YUMBO-VALLE(CORRGTO);NACIONAL
URIBIA-LA GUAJIRA;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
URIBIA-LA GUAJIRA;MEDELLIN-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;ITAGUI-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;ENVIGADO-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;BELLO-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;CALDAS-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;COPACABANA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;GIRARDOTA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;LA ESTRELLA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;SABANETA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;BARBOSA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;FLORIDABLANCA-SANTANDER;NACIONAL
UBATE-CUNDINAMARCA;MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
URRAO-ANTIOQUIA;MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
URIBIA-LA GUAJIRA;PUERTO TRIUNFO-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;MARSELLA-RISARALDA;NACIONAL
URIBIA-LA GUAJIRA;PACORA-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;AGUADAS-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;NEIRA-CALDAS;NACIONAL
URIBIA-LA GUAJIRA;PUERTO BOYACA-BOYACA;NACIONAL
URIBIA-LA GUAJIRA;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
URIBIA-LA GUAJIRA;IPIALES-NARIÑO;NACIONAL
URIBIA-LA GUAJIRA;PASTO-NARIÑO;NACIONAL
URIBIA-LA GUAJIRA;MONTELIBANO-CORDOBA;NACIONAL
URIBIA-LA GUAJIRA;PUERTO BERRIO-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;LA CEJA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;MARINILLA-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;GUARNE-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;TASCO-BOYACA;NACIONAL
URIBIA-LA GUAJIRA;RETIRO-ANTIOQUIA;NACIONAL
URIBIA-LA GUAJIRA;MONGUI-BOYACA;NACIONAL
URRAO-ANTIOQUIA;MARSELLA-RISARALDA;NACIONAL
URRAO-ANTIOQUIA;BUENOS AIRES-TOLIMA(CAS);NACIONAL
URRAO-ANTIOQUIA;ATACO-TOLIMA;NACIONAL
URRAO-ANTIOQUIA;COYAIMA-TOLIMA;NACIONAL
URRAO-ANTIOQUIA;HERVEO-TOLIMA;NACIONAL
UBALA-CUNDINAMARCA;HERVEO-TOLIMA;NACIONAL
