NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
VALLEDUPAR-CESAR;ARMENIA (Q)-QUINDIO;NACIONAL
VALLEDUPAR-CESAR;CARTAGO-VALLE;NACIONAL
VALLEDUPAR-CESAR;DOSQUEBRADAS-RISARALDA;NACIONAL
VALLEDUPAR-CESAR;CHINCHINA-CALDAS;NACIONAL
VALLEDUPAR-CESAR;MANIZALES-CALDAS;NACIONAL
VALLEDUPAR-CESAR;PEREIRA-RISARALDA;NACIONAL
VALLEDUPAR-CESAR;SANTA ROSA DE CABAL-RISARALDA;NACIONAL
VALLEDUPAR-CESAR;LA UNION (V)-VALLE;NACIONAL
VALLEDUPAR-CESAR;ROLDANILLO-VALLE;NACIONAL
VALLEDUPAR-CESAR;CALARCA-QUINDIO;NACIONAL
VALLEDUPAR-CESAR;ANSERMA-CALDAS;NACIONAL
VALLEDUPAR-CESAR;SEVILLA-VALLE;NACIONAL
VALLEDUPAR-CESAR;LA VIRGINIA-RISARALDA;NACIONAL
VALLEDUPAR-CESAR;LA TEBAIDA-QUINDIO;NACIONAL
VALLEDUPAR-CESAR;CAICEDONIA-VALLE;NACIONAL
VALLEDUPAR-CESAR;BELEN DE UMBRIA-RISARALDA;NACIONAL
VALLEDUPAR-CESAR;MONTENEGRO-QUINDIO;NACIONAL
VALLEDUPAR-CESAR;VILLAMARIA-CALDAS;NACIONAL
VALLEDUPAR-CESAR;ZARZAL-VALLE;NACIONAL
VALLEDUPAR-CESAR;ANSERMA NUEVO-VALLE;NACIONAL
VALLEDUPAR-CESAR;MOMPOS-BOLIVAR;NACIONAL
VALLEDUPAR-CESAR;LORICA-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;PLANETA RICA-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;TOLU-SUCRE;NACIONAL
VALLEDUPAR-CESAR;SAN MARCOS-SUCRE;NACIONAL
VALLEDUPAR-CESAR;SAN BERNARDO DEL VIENTO-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;COVEÑAS-SUCRE;NACIONAL
VALLEDUPAR-CESAR;CIENAGA DE ORO-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;SAN ANDRES DE SOTAVENTO-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;SAN ANTERO-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;SAN PELAYO-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;PIVIJAY-MAGDALENA;NACIONAL
VALLEDUPAR-CESAR;SAMPUES-SUCRE;NACIONAL
VALLEDUPAR-CESAR;SAN ONOFRE-SUCRE;NACIONAL
VALLEDUPAR-CESAR;MOMIL-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;URIBIA-LA GUAJIRA;NACIONAL
VALLEDUPAR-CESAR;MARIA LA BAJA B-BOLIVAR;NACIONAL
VALLEDUPAR-CESAR;COTORRA (I)-CORDOBA;NACIONAL
VALLEDUPAR-CESAR;OVEJAS-SUCRE;NACIONAL
VALLEDUPAR-CESAR;PASACABALLOS-BOLIVAR(CORRGTO);NACIONAL
VALLEDUPAR-CESAR;PUEBLO BELLO-CESAR;NACIONAL
VALLEDUPAR-CESAR;SANTA ANA (M)-MAGDALENA;NACIONAL
VILLANUEVA-LA GUAJIRA;BARRANQUILLA-ATLANTICO;NACIONAL
VALLEDUPAR-CESAR;MEDELLIN-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;RIONEGRO (ANT)-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;ITAGUI-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;ENVIGADO-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;BELLO-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;CALDAS-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;COPACABANA-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;GIRARDOTA-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;LA ESTRELLA-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;SABANETA-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;BARBOSA-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
VALLEDUPAR-CESAR;BUENAVENTURA-VALLE;NACIONAL
VALLEDUPAR-CESAR;BUGA-VALLE;NACIONAL
VALLEDUPAR-CESAR;PALMIRA-VALLE;NACIONAL
VALLEDUPAR-CESAR;SANTANDER DE QUILICHAO-CAUCA;NACIONAL
VALLEDUPAR-CESAR;TULUA-VALLE;NACIONAL
VALLEDUPAR-CESAR;PUERTO TEJADA-CAUCA;NACIONAL
VALLEDUPAR-CESAR;ANDALUCIA-VALLE;NACIONAL
VALLEDUPAR-CESAR;YUMBO-VALLE(CORRGTO);NACIONAL
VALLEDUPAR-CESAR;PRADERA-VALLE;NACIONAL
VALLEDUPAR-CESAR;BUGALAGRANDE-VALLE;NACIONAL
VALLEDUPAR-CESAR;JAMUNDI-VALLE;NACIONAL
VALLEDUPAR-CESAR;EL CERRITO-VALLE;NACIONAL
VALLEDUPAR-CESAR;FLORIDA-VALLE;NACIONAL
VALLEDUPAR-CESAR;GINEBRA-VALLE;NACIONAL
