NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
YUMBO-VALLE(CORRGTO);BARRANQUILLA-ATLANTICO;NACIONAL
YUMBO-VALLE(CORRGTO);TASCO-BOYACA;NACIONAL
YUMBO-VALLE(CORRGTO);FLORIDABLANCA-SANTANDER;NACIONAL
YUMBO-VALLE(CORRGTO);MONGUI-BOYACA;NACIONAL
YUMBO-VALLE(CORRGTO);TURBACO B-BOLIVAR;NACIONAL
YOTOCO-VALLE;BARRANQUILLA-ATLANTICO;NACIONAL
YOTOCO-VALLE;TASCO-BOYACA;NACIONAL
YOTOCO-VALLE;FLORIDABLANCA-SANTANDER;NACIONAL
YOTOCO-VALLE;TURBACO B-BOLIVAR;NACIONAL
YACOPI-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
YOPAL-CASANARE;BUENAVENTURA-VALLE;NACIONAL
YOPAL-CASANARE;BUGA-VALLE;NACIONAL
YOPAL-CASANARE;TULUA-VALLE;NACIONAL
YOPAL-CASANARE;YUMBO-VALLE(CORRGTO);NACIONAL
YOPAL-CASANARE;TASCO-BOYACA;NACIONAL
YOPAL-CASANARE;FLORIDABLANCA-SANTANDER;NACIONAL
YOPAL-CASANARE;YOTOCO-VALLE;NACIONAL
YOPAL-CASANARE;MONGUI-BOYACA;NACIONAL
YOPAL-CASANARE;VILLA RICA-CAUCA;NACIONAL
YOPAL-CASANARE;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
YUMBO-VALLE(CORRGTO);APARTADO-ANTIOQUIA;NACIONAL
YUMBO-VALLE(CORRGTO);MARINILLA-ANTIOQUIA;NACIONAL
YUMBO-VALLE(CORRGTO);GUARNE-ANTIOQUIA;NACIONAL
YUMBO-VALLE(CORRGTO);RETIRO-ANTIOQUIA;NACIONAL
YOTOCO-VALLE;MARINILLA-ANTIOQUIA;NACIONAL
YOTOCO-VALLE;GUARNE-ANTIOQUIA;NACIONAL
YOTOCO-VALLE;RETIRO-ANTIOQUIA;NACIONAL
YOPAL-CASANARE;MEDELLIN-ANTIOQUIA;NACIONAL
YOPAL-CASANARE;ITAGUI-ANTIOQUIA;NACIONAL
YOPAL-CASANARE;ENVIGADO-ANTIOQUIA;NACIONAL
