NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN;NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO;TIPOTRAYECTO
ZARAGOZA (V)-VALLE(CORRGTO);BUENAVENTURA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);IPIALES-NARIÑO;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);PASTO-NARIÑO;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);POPAYAN-CAUCA;NACIONAL
ZARZAL-VALLE;BUENAVENTURA-VALLE;NACIONAL
ZARZAL-VALLE;IPIALES-NARIÑO;NACIONAL
ZARZAL-VALLE;PASTO-NARIÑO;NACIONAL
ZARZAL-VALLE;POPAYAN-CAUCA;NACIONAL
ZARZAL-VALLE;PUERTO BOYACA-BOYACA;NACIONAL
ZARZAL-VALLE;PUERTO SALGAR-CUNDINAMARCA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);MARINILLA-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);GUARNE-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);RETIRO-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;MARINILLA-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;GUARNE-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;RETIRO-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);BARRANQUILLA-ATLANTICO;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);TASCO-BOYACA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);MONGUI-BOYACA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);TURBACO B-BOLIVAR;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);CAPARRAPI-CUNDINAMARCA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);SAN JUAN DE RIO SECO-CUNDINAMARCA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);YACOPI-CUNDINAMARCA;NACIONAL
ZARZAL-VALLE;BARRANQUILLA-ATLANTICO;NACIONAL
ZARZAL-VALLE;TASCO-BOYACA;NACIONAL
ZARZAL-VALLE;MONGUI-BOYACA;NACIONAL
ZARZAL-VALLE;TURBACO B-BOLIVAR;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;GAIRA-MAGDALENA;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;PUEBLO BELLO-CESAR;NACIONAL
ZIPACON-CUNDINAMARCA;GAIRA-MAGDALENA;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;SANTA ANA (M)-MAGDALENA;NACIONAL
ZIPACON-CUNDINAMARCA;SANTA ANA (M)-MAGDALENA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);DORADAL-ANTIOQUIA(CORRGTO);NACIONAL
ZARZAL-VALLE;PUERTO TRIUNFO-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;DORADAL-ANTIOQUIA(CORRGTO);NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);FLORIDABLANCA-SANTANDER;NACIONAL
ZARZAL-VALLE;ARMENIA (Q)-QUINDIO;NACIONAL
ZARZAL-VALLE;MANIZALES-CALDAS;NACIONAL
ZARZAL-VALLE;FLORIDABLANCA-SANTANDER;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);MEDELLIN-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);ITAGUI-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);ENVIGADO-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);BELLO-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);CALDAS-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);COPACABANA-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);GIRARDOTA-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);LA ESTRELLA-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);SABANETA-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);BARBOSA-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;MEDELLIN-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;ITAGUI-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;ENVIGADO-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;BELLO-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;CALDAS-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;COPACABANA-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;GIRARDOTA-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;LA ESTRELLA-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;SABANETA-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;BARBOSA-ANTIOQUIA;NACIONAL
ZARZAL-VALLE;SAN ANTONIO DE PRADO-ANTIOQUIA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);BUGA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);PALMIRA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);SANTANDER DE QUILICHAO-CAUCA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);TULUA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);YUMBO-VALLE(CORRGTO);NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);PRADERA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);BUGALAGRANDE-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);JAMUNDI-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);EL CERRITO-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);FLORIDA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);GINEBRA-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);GUACARI-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);YOTOCO-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);VILLA RICA-CAUCA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);CANDELARIA-VALLE(CORRGTO);NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);ROZO-VALLE(CORRGTO);NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);VILLA GORGONA-VALLE(CORRGTO);NACIONAL
ZARZAL-VALLE;BUGA-VALLE;NACIONAL
ZARZAL-VALLE;PALMIRA-VALLE;NACIONAL
ZARZAL-VALLE;SANTANDER DE QUILICHAO-CAUCA;NACIONAL
ZARZAL-VALLE;TULUA-VALLE;NACIONAL
ZARZAL-VALLE;YUMBO-VALLE(CORRGTO);NACIONAL
ZARZAL-VALLE;PRADERA-VALLE;NACIONAL
ZARZAL-VALLE;BUGALAGRANDE-VALLE;NACIONAL
ZARZAL-VALLE;JAMUNDI-VALLE;NACIONAL
ZARZAL-VALLE;EL CERRITO-VALLE;NACIONAL
ZARZAL-VALLE;FLORIDA-VALLE;NACIONAL
ZARZAL-VALLE;GINEBRA-VALLE;NACIONAL
ZARZAL-VALLE;GUACARI-VALLE;NACIONAL
ZARZAL-VALLE;YOTOCO-VALLE;NACIONAL
ZARZAL-VALLE;VILLA RICA-CAUCA;NACIONAL
ZARZAL-VALLE;CANDELARIA-VALLE(CORRGTO);NACIONAL
ZARZAL-VALLE;ROZO-VALLE(CORRGTO);NACIONAL
ZARZAL-VALLE;VILLA GORGONA-VALLE(CORRGTO);NACIONAL
ZIPAQUIRA-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;SAN PEDRO(V)-VALLE;NACIONAL
ZIPACON-CUNDINAMARCA;MONGUI-BOYACA;NACIONAL
ZIPACON-CUNDINAMARCA;SAN PEDRO(V)-VALLE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);SAMANIEGO-NARIÑO;NACIONAL
ZARZAL-VALLE;SAMANIEGO-NARIÑO;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);SAN ONOFRE-SUCRE;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);MARIA LA BAJA B-BOLIVAR;NACIONAL
ZARZAL-VALLE;SAN ONOFRE-SUCRE;NACIONAL
ZARZAL-VALLE;MARIA LA BAJA B-BOLIVAR;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);URIBIA-LA GUAJIRA;NACIONAL
ZARZAL-VALLE;URIBIA-LA GUAJIRA;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
ZARZAL-VALLE;MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
ZARAGOZA-ANTIOQUIA;SAMANIEGO-NARIÑO;NACIONAL
ZARAGOZA-ANTIOQUIA;PLANADAS-TOLIMA;NACIONAL
ZARAGOZA-ANTIOQUIA;ATACO-TOLIMA;NACIONAL
ZARAGOZA-ANTIOQUIA;COYAIMA-TOLIMA;NACIONAL
ZARAGOZA-ANTIOQUIA;HERVEO-TOLIMA;NACIONAL
ZARAGOZA-ANTIOQUIA;RIOBLANCO-TOLIMA;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;CANALETE-CORDOBA;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;MALAGANA-BOLIVAR(CORRGTO);NACIONAL
ZIPAQUIRA-CUNDINAMARCA;COTORRA (I)-CORDOBA;NACIONAL
ZARAGOZA-ANTIOQUIA;BECERRIL-CESAR;NACIONAL
ZARAGOZA-ANTIOQUIA;MOMIL-CORDOBA;NACIONAL
ZARAGOZA-ANTIOQUIA;MALAGANA-BOLIVAR(CORRGTO);NACIONAL
ZARAGOZA-ANTIOQUIA;MINGUEO-LA GUAJIRA(CORRGTO);NACIONAL
ZARAGOZA-ANTIOQUIA;PUERTO ESCONDIDO-CORDOBA;NACIONAL
ZIPACON-CUNDINAMARCA;MALAGANA-BOLIVAR(CORRGTO);NACIONAL
ZARAGOZA-ANTIOQUIA;VALENCIA-CORDOBA;NACIONAL
ZARAGOZA-ANTIOQUIA;GALAPA-ATLANTICO;NACIONAL
ZARAGOZA-ANTIOQUIA;SAN ONOFRE-SUCRE;NACIONAL
ZARAGOZA-ANTIOQUIA;JUAN DE ACOSTA-ATLANTICO;NACIONAL
ZARAGOZA-ANTIOQUIA;MARIA LA BAJA B-BOLIVAR;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);COTORRA (I)-CORDOBA;NACIONAL
ZARZAL-VALLE;COTORRA (I)-CORDOBA;NACIONAL
ZIPACON-CUNDINAMARCA;COTORRA (I)-CORDOBA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);MALAGANA-BOLIVAR(CORRGTO);NACIONAL
ZARZAL-VALLE;MALAGANA-BOLIVAR(CORRGTO);NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);PUERTO ESCONDIDO-CORDOBA;NACIONAL
ZARZAL-VALLE;PUERTO ESCONDIDO-CORDOBA;NACIONAL
ZARAGOZA (V)-VALLE(CORRGTO);BECERRIL-CESAR;NACIONAL
ZARZAL-VALLE;BECERRIL-CESAR;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;BECERRIL-CESAR;NACIONAL
ZIPAQUIRA-CUNDINAMARCA;PUERTO ESCONDIDO-CORDOBA;NACIONAL
ZIPACON-CUNDINAMARCA;BECERRIL-CESAR;NACIONAL
ZIPACON-CUNDINAMARCA;PUERTO ESCONDIDO-CORDOBA;NACIONAL
