NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
AMAGA-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
AMAGA-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|CONDOTO-CHOCO|ESPECIAL
ABEJORRAL-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
ABEJORRAL-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|CAROLINA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|CONCEPCION-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|JERICO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|FREDONIA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|NARIÑO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|UNGUIA-CHOCO|ESPECIAL
ABEJORRAL-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|HISPANIA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|CARAMANTA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|ARGELIA (A)-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|PALERMO-ANTIOQUIA(CORRGTO)|ESPECIAL
ABEJORRAL-ANTIOQUIA|PEQUE-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
AMALFI-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
AMALFI-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SAN JOSE DE LA MONTAÑA-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
AMALFI-ANTIOQUIA|TOLEDO-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
ARGELIA (A)-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
ARGELIA (A)-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
AMAGA-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
ABEJORRAL-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|AYAPEL-CORDOBA|ESPECIAL
ABEJORRAL-ANTIOQUIA|PUERTO BERRIO-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|EL CARMEN DE VIBORAL-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|LA CEJA-ANTIOQUIA|ESPECIAL
ABEJORRAL-ANTIOQUIA|LA UNION-ANTIOQUIA(CORRGTO)|ESPECIAL
ABEJORRAL-ANTIOQUIA|MARINILLA-ANTIOQUIA|ESPECIAL
