NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
BETULIA (ANT)-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
BETULIA (ANT)-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
BRICEÑO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SAN LUIS-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|REMEDIOS-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|PEÑOL-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SANTA BARBARA-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
BRICEÑO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
