NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
DABEIBA-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
DABEIBA-ANTIOQUIA|FRONTINO-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
DABEIBA-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
DABEIBA-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|EL BAGRE-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|PIZARRO-CHOCO|ESPECIAL
DABEIBA-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
DABEIBA-ANTIOQUIA|CHIGORODO-ANTIOQUIA|ESPECIAL
DABEIBA-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|ISTMINA-CHOCO|ESPECIAL
DISTRACCION-LA GUAJIRA|NECOCLI-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|FRONTINO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
DIBULLA-LA GUAJIRA|ISTMINA-CHOCO|ESPECIAL
DIBULLA-LA GUAJIRA|NECOCLI-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|FRONTINO-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
DISTRACCION-LA GUAJIRA|PIZARRO-CHOCO|ESPECIAL
DIBULLA-LA GUAJIRA|PIZARRO-CHOCO|ESPECIAL
DISTRACCION-LA GUAJIRA|ZARAGOZA-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|JARDIN-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|MACEO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|SALGAR-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|SAN VICENTE-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|VENECIA-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|DABEIBA-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|TARSO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|EL BAGRE-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|SOPETRAN-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|ZARAGOZA-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|JARDIN-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|MACEO-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|SALGAR-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|SAN VICENTE-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|VENECIA-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|TARSO-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|EL BAGRE-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|SOPETRAN-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|CHIGORODO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|PUERTO NARE-ANTIOQUIA|ESPECIAL
DISTRACCION-LA GUAJIRA|DON MATIAS-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|CHIGORODO-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|PUERTO NARE-ANTIOQUIA|ESPECIAL
DIBULLA-LA GUAJIRA|DON MATIAS-ANTIOQUIA|ESPECIAL
