NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
EL BAGRE-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
EL BAGRE-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|FRONTINO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|ISTMINA-CHOCO|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|DABEIBA-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
EL BAGRE-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|VENECIA-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|PIZARRO-CHOCO|ESPECIAL
EL BAGRE-ANTIOQUIA|CHIGORODO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
EL BAGRE-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|ZARAGOZA-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|NECHI-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|PUERTO NARE-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|JARDIN-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|SALGAR-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|SAN JERONIMO-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|TARSO-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|PUEBLORRICO-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|EL BAGRE-ANTIOQUIA|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
EL VALLE-ANTIOQUIA(CORRGTO)|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
