NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
FREDONIA-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
FREDONIA-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
FREDONIA-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SAN JOSE DE LA MONTAÑA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|TOLEDO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|QUIBDO-CHOCO|ESPECIAL
FRONTINO-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|CISNEROS-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|SONSON-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|LA SIERRA-ANTIOQUIA(CORRGTO)|ESPECIAL
FRONTINO-ANTIOQUIA|YOLOMBO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|CURRULAO-ANTIOQUIA(CORRGTO)|ESPECIAL
FRONTINO-ANTIOQUIA|CACERES-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|EL BAGRE-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
FRONTINO-ANTIOQUIA|SAN ROQUE-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|SANTO DOMINGO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SANTA ROSA DE OSOS-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|YARUMAL-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|ENTRERRIOS-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
FREDONIA-ANTIOQUIA|SAN PEDRO DE LOS MILAGROS-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|MEDELLIN-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|RIONEGRO (ANT)-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|ITAGUI-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|TURBO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|ENVIGADO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|MONTELIBANO-CORDOBA|ESPECIAL
FRONTINO-ANTIOQUIA|BELLO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|CHIGORODO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|CALDAS-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|CAREPA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|COPACABANA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|GIRARDOTA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|LA ESTRELLA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|SABANETA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|BARBOSA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|SAN ANTONIO DE PRADO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|QUIBDO-CHOCO|ESPECIAL
FREDONIA-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|CISNEROS-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SONSON-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|YOLOMBO-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|CURRULAO-ANTIOQUIA(CORRGTO)|ESPECIAL
FREDONIA-ANTIOQUIA|CACERES-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|EL BAGRE-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
FREDONIA-ANTIOQUIA|SAN ROQUE-ANTIOQUIA|ESPECIAL
FREDONIA-ANTIOQUIA|SANTO DOMINGO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|CAUCASIA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|AYAPEL-CORDOBA|ESPECIAL
FRONTINO-ANTIOQUIA|PUERTO BERRIO-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|EL CARMEN DE VIBORAL-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|LA CEJA-ANTIOQUIA|ESPECIAL
FRONTINO-ANTIOQUIA|LA UNION-ANTIOQUIA(CORRGTO)|ESPECIAL
FRONTINO-ANTIOQUIA|MARINILLA-ANTIOQUIA|ESPECIAL
