NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
GUATAPE-ANTIOQUIA|CONDOTO-CHOCO|ESPECIAL
GUATAPE-ANTIOQUIA|TADO-CHOCO|ESPECIAL
GUATAPE-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SAN LUIS-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|CAROLINA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|CONCEPCION-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|JERICO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|VALPARAISO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|CAICEDO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|FREDONIA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|NARIÑO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|UNGUIA-CHOCO|ESPECIAL
GUATAPE-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|TITIRIBI-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|HISPANIA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|CARAMANTA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|ARGELIA (A)-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|PALERMO-ANTIOQUIA(CORRGTO)|ESPECIAL
GUATAPE-ANTIOQUIA|BETANIA-ANTIOQUIA(CENTPOBL)|ESPECIAL
GUATAPE-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
GUATAPE-ANTIOQUIA|PEQUE-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|RIOSUCIO-CHOCO|ESPECIAL
GUATAPE-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
GUATAPE-ANTIOQUIA|TOLEDO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CONDOTO-CHOCO|ESPECIAL
GRANADA-ANTIOQUIA|TADO-CHOCO|ESPECIAL
GRANADA-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CAROLINA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CONCEPCION-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|JERICO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|VALPARAISO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|BRICEÑO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CAICEDO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|FREDONIA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|NARIÑO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|UNGUIA-CHOCO|ESPECIAL
GRANADA-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|TITIRIBI-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|HISPANIA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CARAMANTA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|ARGELIA (A)-ANTIOQUIA|ESPECIAL
GRANADA-ANTIOQUIA|PALERMO-ANTIOQUIA(CORRGTO)|ESPECIAL
GRANADA-ANTIOQUIA|BETANIA-ANTIOQUIA(CENTPOBL)|ESPECIAL
GRANADA-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
