NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
HATONUEVO-LA GUAJIRA|PIZARRO-CHOCO|ESPECIAL
HATONUEVO-LA GUAJIRA|CHIGORODO-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|PUERTO NARE-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|DON MATIAS-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|ISTMINA-CHOCO|ESPECIAL
HATONUEVO-LA GUAJIRA|NECOCLI-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|FRONTINO-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
HATONUEVO-LA GUAJIRA|NECHI-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|TARAZA-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
HATONUEVO-LA GUAJIRA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
HATONUEVO-LA GUAJIRA|ZARAGOZA-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|JARDIN-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|MACEO-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|SALGAR-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|SAN VICENTE-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|VENECIA-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|DABEIBA-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|TARSO-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|EL BAGRE-ANTIOQUIA|ESPECIAL
HATONUEVO-LA GUAJIRA|SOPETRAN-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|NECHI-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|TARAZA-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
HONDA-TOLIMA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
HERVEO-TOLIMA|NECHI-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|TARAZA-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
HERVEO-TOLIMA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
HONDA-TOLIMA|PUERTO NARE-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|CHIGORODO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|ZARAGOZA-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|JARDIN-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|MACEO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|SALGAR-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|SAN VICENTE-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|VENECIA-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|DABEIBA-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|TARSO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|EL BAGRE-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|SOPETRAN-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|ISTMINA-CHOCO|ESPECIAL
HERVEO-TOLIMA|NECOCLI-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|FRONTINO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
HERVEO-TOLIMA|PIZARRO-CHOCO|ESPECIAL
HONDA-TOLIMA|PIZARRO-CHOCO|ESPECIAL
HONDA-TOLIMA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
HERVEO-TOLIMA|CHIGORODO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|PUERTO NARE-ANTIOQUIA|ESPECIAL
HERVEO-TOLIMA|DON MATIAS-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|ISTMINA-CHOCO|ESPECIAL
HONDA-TOLIMA|NECOCLI-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|FRONTINO-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|ZARAGOZA-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|JARDIN-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|MACEO-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|SALGAR-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|SAN VICENTE-ANTIOQUIA|ESPECIAL
HONDA-TOLIMA|VENECIA-ANTIOQUIA|ESPECIAL
