NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
ITUANGO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
ITUANGO-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
