NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
JARDIN-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
JARDIN-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SAN LUIS-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|PEÑOL-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SANTA BARBARA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SEGOVIA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
JARDIN-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
