NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
LA APARTADA Y LA FRONTERA-CORDOBA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|FRONTINO-ANTIOQUIA|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
LA PINTADA-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
LA PINTADA-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN JOSE DE LA MONTAÑA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|TOLEDO-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|JARDIN-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|MACEO-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|SALGAR-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|SAN VICENTE-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|VENECIA-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|DABEIBA-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|TARSO-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
LA APARTADA Y LA FRONTERA-CORDOBA|SOPETRAN-ANTIOQUIA|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|ZARAGOZA-ANTIOQUIA|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|DABEIBA-ANTIOQUIA|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|EL BAGRE-ANTIOQUIA|ESPECIAL
LA SIERRA-ANTIOQUIA(CORRGTO)|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
LA PINTADA-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|SANTA ROSA DE OSOS-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|YARUMAL-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|ENTRERRIOS-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
LA PINTADA-ANTIOQUIA|LA APARTADA Y LA FRONTERA-CORDOBA|ESPECIAL
LA PINTADA-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
LA PINTADA-ANTIOQUIA|SAN PEDRO DE LOS MILAGROS-ANTIOQUIA|ESPECIAL
