NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
MACEO-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
MACEO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
MACEO-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SAN JOSE DE LA MONTAÑA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
MUTATA-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
MUTATA-ANTIOQUIA|FRONTINO-ANTIOQUIA|ESPECIAL
MEDELLIN-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
MACEO-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SANTA ROSA DE OSOS-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|YARUMAL-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|ENTRERRIOS-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|LA APARTADA Y LA FRONTERA-CORDOBA|ESPECIAL
MACEO-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
MACEO-ANTIOQUIA|SAN PEDRO DE LOS MILAGROS-ANTIOQUIA|ESPECIAL
MONTEBELLO-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
MONTEBELLO-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
MUTATA-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
MUTATA-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
MUTATA-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
MUTATA-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
MUTATA-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
MUTATA-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
MACEO-ANTIOQUIA|QUIBDO-CHOCO|ESPECIAL
MACEO-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|CISNEROS-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|SONSON-ANTIOQUIA|ESPECIAL
MACEO-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
