NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
NECHI-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
NARIÑO-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
NARIÑO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
NARIÑO-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN JOSE DE LA MONTAÑA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|TOLEDO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|SOPETRAN-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SANTA ROSA DE OSOS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|YARUMAL-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|NECHI-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|PUERTO NARE-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ENTRERRIOS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|DON MATIAS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN PEDRO DE LOS MILAGROS-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
NECHI-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|FRONTINO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|QUIBDO-CHOCO|ESPECIAL
NARIÑO-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CISNEROS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SONSON-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|YOLOMBO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CURRULAO-ANTIOQUIA(CORRGTO)|ESPECIAL
NARIÑO-ANTIOQUIA|CACERES-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|EL BAGRE-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
NARIÑO-ANTIOQUIA|SAN ROQUE-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SANTO DOMINGO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|EL BAGRE-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
NARIÑO-ANTIOQUIA|TURBO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CHIGORODO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|CAREPA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ANORI-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|MONTEBELLO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ANGELOPOLIS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|GUADALUPE-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|ITUANGO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|PIZARRO-CHOCO|ESPECIAL
NARIÑO-ANTIOQUIA|VIGIA DEL FUERTE-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|REMEDIOS-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|FRONTINO-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|VALDIVIA-ANTIOQUIA|ESPECIAL
NARIÑO-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
NECHI-ANTIOQUIA|CHIGORODO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|EL SANTUARIO-ANTIOQUIA|ESPECIAL
NECHI-ANTIOQUIA|TARAZA-ANTIOQUIA|ESPECIAL
