NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
OVEJAS-SUCRE|CHIGORODO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|EL SANTUARIO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|TARAZA-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|DON MATIAS-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|MACEO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|SAN VICENTE-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|NECOCLI-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|FRONTINO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|ZARAGOZA-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|NECHI-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|PUERTO NARE-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|JARDIN-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|SALGAR-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|SAN JERONIMO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|TARSO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|PUEBLORRICO-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|EL BAGRE-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
OVEJAS-SUCRE|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
OVEJAS-SUCRE|SOPETRAN-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|ISTMINA-CHOCO|ESPECIAL
OVEJAS-SUCRE|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|DABEIBA-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
OVEJAS-SUCRE|VENECIA-ANTIOQUIA|ESPECIAL
OVEJAS-SUCRE|PIZARRO-CHOCO|ESPECIAL
ONZAGA-SANTANDER|CHIGORODO-ANTIOQUIA|ESPECIAL
ONZAGA-SANTANDER|EL SANTUARIO-ANTIOQUIA|ESPECIAL
ONZAGA-SANTANDER|PUERTO NARE-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|ZARAGOZA-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|TARAZA-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|MACEO-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|SALGAR-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|SAN JERONIMO-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|VENECIA-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|DABEIBA-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|TARSO-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|PUEBLORRICO-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|EL BAGRE-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
ORITO-PUTUMAYO|SOPETRAN-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|ZARAGOZA-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|ISTMINA-CHOCO|ESPECIAL
OROCUE-CASANARE|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|JARDIN-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|MACEO-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|SALGAR-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|SAN JERONIMO-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|SAN VICENTE-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|VENECIA-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|DABEIBA-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|TARSO-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|PUEBLORRICO-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|EL BAGRE-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|SOPETRAN-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|SAN VICENTE-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|VENECIA-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|NECOCLI-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|FRONTINO-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|PIZARRO-CHOCO|ESPECIAL
OROCUE-CASANARE|FRONTINO-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
ORITO-PUTUMAYO|ISTMINA-CHOCO|ESPECIAL
ORITO-PUTUMAYO|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|SAN VICENTE-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|FRONTINO-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
ORITO-PUTUMAYO|PIZARRO-CHOCO|ESPECIAL
OROCUE-CASANARE|PIZARRO-CHOCO|ESPECIAL
ONZAGA-SANTANDER|PIZARRO-CHOCO|ESPECIAL
OPORAPA-HUILA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
ORITO-PUTUMAYO|NECHI-ANTIOQUIA|ESPECIAL
ORITO-PUTUMAYO|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
OPORAPA-HUILA|ZARAGOZA-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|ISTMINA-CHOCO|ESPECIAL
OPORAPA-HUILA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|TARAZA-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|JARDIN-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|SALGAR-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|DABEIBA-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|TARSO-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|EL BAGRE-ANTIOQUIA|ESPECIAL
OPORAPA-HUILA|SOPETRAN-ANTIOQUIA|ESPECIAL
OROCUE-CASANARE|NECHI-ANTIOQUIA|ESPECIAL
