NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
QUIPAMA-BOYACA|CHIGORODO-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|ISTMINA-CHOCO|ESPECIAL
QUIPILE-CUNDINAMARCA|NECOCLI-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|FRONTINO-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
QUIPILE-CUNDINAMARCA|PIZARRO-CHOCO|ESPECIAL
QUIPAMA-BOYACA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
QUIPILE-CUNDINAMARCA|ZARAGOZA-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|JARDIN-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|MACEO-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|SALGAR-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|SAN VICENTE-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|VENECIA-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|DABEIBA-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|TARSO-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|EL BAGRE-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|SOPETRAN-ANTIOQUIA|ESPECIAL
QUIPILE-CUNDINAMARCA|NECHI-ANTIOQUIA|ESPECIAL
