NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
REMEDIOS-ANTIOQUIA|QUIBDO-CHOCO|ESPECIAL
REMEDIOS-ANTIOQUIA|MEDELLIN-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|RIONEGRO (ANT)-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|ITAGUI-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|TURBO-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|ENVIGADO-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|MONTELIBANO-CORDOBA|ESPECIAL
REMEDIOS-ANTIOQUIA|BELLO-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|CHIGORODO-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|CALDAS-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|GIRARDOTA-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|SABANETA-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|BARBOSA-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|APARTADO-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|CAUCASIA-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|PUERTO BERRIO-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|LA CEJA-ANTIOQUIA|ESPECIAL
REMEDIOS-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
REPELON-ATLANTICO|ISTMINA-CHOCO|ESPECIAL
REPELON-ATLANTICO|FRONTINO-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
REPELON-ATLANTICO|ZARAGOZA-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|JARDIN-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|MACEO-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|SALGAR-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|SAN JERONIMO-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|VENECIA-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|DABEIBA-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|TARSO-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|PUEBLORRICO-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|EL BAGRE-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|SOPETRAN-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|NECHI-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|TARAZA-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
REPELON-ATLANTICO|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
REPELON-ATLANTICO|CHIGORODO-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|PUERTO NARE-ANTIOQUIA|ESPECIAL
REPELON-ATLANTICO|DON MATIAS-ANTIOQUIA|ESPECIAL
RICAURTE-CUNDINAMARCA|NECHI-ANTIOQUIA|ESPECIAL
RICAURTE-CUNDINAMARCA|TARAZA-ANTIOQUIA|ESPECIAL
RICAURTE-CUNDINAMARCA|PUERTO NARE-ANTIOQUIA|ESPECIAL
RICAURTE-CUNDINAMARCA|DON MATIAS-ANTIOQUIA|ESPECIAL
RICAURTE-CUNDINAMARCA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
