NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
TADO-CHOCO|ZARAGOZA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|ISTMINA-CHOCO|ESPECIAL
TADO-CHOCO|AMAGA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SAN LUIS-ANTIOQUIA|ESPECIAL
TADO-CHOCO|ABEJORRAL-ANTIOQUIA|ESPECIAL
TADO-CHOCO|URRAO-ANTIOQUIA|ESPECIAL
TADO-CHOCO|ALEJANDRIA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|TAMESIS-ANTIOQUIA|ESPECIAL
TADO-CHOCO|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
TADO-CHOCO|GUATAPE-ANTIOQUIA|ESPECIAL
TADO-CHOCO|JARDIN-ANTIOQUIA|ESPECIAL
TADO-CHOCO|MACEO-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SALGAR-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SAN CARLOS-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SAN VICENTE-ANTIOQUIA|ESPECIAL
TADO-CHOCO|AMALFI-ANTIOQUIA|ESPECIAL
TADO-CHOCO|VENECIA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|PEÑOL-ANTIOQUIA|ESPECIAL
TADO-CHOCO|CAMPAMENTO-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SANTA BARBARA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SAN RAFAEL-ANTIOQUIA|ESPECIAL
TADO-CHOCO|DABEIBA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|COCORNA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SEGOVIA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|CURRULAO-ANTIOQUIA(CORRGTO)|ESPECIAL
TADO-CHOCO|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|ANGOSTURA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|YALI-ANTIOQUIA|ESPECIAL
TADO-CHOCO|VEGACHI-ANTIOQUIA|ESPECIAL
TADO-CHOCO|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|CACERES-ANTIOQUIA|ESPECIAL
TADO-CHOCO|LA PINTADA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|TARSO-ANTIOQUIA|ESPECIAL
TADO-CHOCO|PUEBLORRICO-ANTIOQUIA|ESPECIAL
TADO-CHOCO|CONCORDIA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|GRANADA-ANTIOQUIA|ESPECIAL
TADO-CHOCO|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
TADO-CHOCO|EL BAGRE-ANTIOQUIA|ESPECIAL
TADO-CHOCO|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
