NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
URRAO-ANTIOQUIA|CONDOTO-CHOCO|ESPECIAL
URRAO-ANTIOQUIA|TADO-CHOCO|ESPECIAL
URRAO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SAN LUIS-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|CAROLINA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|CONCEPCION-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|JERICO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|VALPARAISO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|BRICEÑO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|PEÑOL-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|CAICEDO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|FREDONIA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SANTA BARBARA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|NARIÑO-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|UNGUIA-CHOCO|ESPECIAL
URRAO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SEGOVIA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
URRAO-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
