NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
VALPARAISO-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
VALPARAISO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SAN LUIS-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|GUATAPE-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|PEÑOL-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SANTA BARBARA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|NECOCLI-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SEGOVIA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|LA PINTADA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|GRANADA-ANTIOQUIA|ESPECIAL
VALPARAISO-ANTIOQUIA|CARACOLI-ANTIOQUIA(CENTPOBL)|ESPECIAL
VALPARAISO-ANTIOQUIA|SAN ANDRES DE CUERQUIA-ANTIOQUIA|ESPECIAL
