NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
YOLOMBO-ANTIOQUIA|REMEDIOS-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|FRONTINO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|VALDIVIA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
YOLOMBO-ANTIOQUIA|QUIBDO-CHOCO|ESPECIAL
YOLOMBO-ANTIOQUIA|ZARAGOZA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|CISNEROS-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SONSON-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|DABEIBA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|CURRULAO-ANTIOQUIA(CORRGTO)|ESPECIAL
YOLOMBO-ANTIOQUIA|CACERES-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|EL BAGRE-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN ROQUE-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SANTO DOMINGO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|ISTMINA-CHOCO|ESPECIAL
YOLOMBO-ANTIOQUIA|AMAGA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|ABEJORRAL-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|URRAO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|ALEJANDRIA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|TAMESIS-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|BETULIA (ANT)-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|JARDIN-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|MACEO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SALGAR-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN CARLOS-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN JERONIMO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN VICENTE-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|AMALFI-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|VENECIA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|CAMPAMENTO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SAN RAFAEL-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|COCORNA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|SANTAFE DE ANTIOQUIA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|ANGOSTURA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|YALI-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|VEGACHI-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|GOMEZ PLATA-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|TARSO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|PUEBLORRICO-ANTIOQUIA|ESPECIAL
YOLOMBO-ANTIOQUIA|CONCORDIA-ANTIOQUIA|ESPECIAL
