NOMBRE_CIUDAD_DEPARTAMENTO_ORIGEN|NOMBRE_CIUDAD_DEPARTAMENTO_DESTINO|TIPOTRAYECTO
ZIPACON-CUNDINAMARCA|NECHI-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|TARAZA-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|NECHI-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|TARAZA-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
ZARZAL-VALLE|NECHI-ANTIOQUIA|ESPECIAL
ZARZAL-VALLE|TARAZA-ANTIOQUIA|ESPECIAL
ZARZAL-VALLE|PUERTO CLAVER-ANTIOQUIA(CORRGTO)|ESPECIAL
ZARZAL-VALLE|PUERTO LIBERTADOR-CORDOBA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|DON MATIAS-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|DON MATIAS-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|PUERTO NARE-ANTIOQUIA|ESPECIAL
ZARZAL-VALLE|PUERTO NARE-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|PUERTO NARE-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|CHIGORODO-ANTIOQUIA|ESPECIAL
ZARZAL-VALLE|CHIGORODO-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|CHIGORODO-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|ZARAGOZA-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|PIZARRO-CHOCO|ESPECIAL
ZARZAL-VALLE|PIZARRO-CHOCO|ESPECIAL
ZIPACON-CUNDINAMARCA|PIZARRO-CHOCO|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|ISTMINA-CHOCO|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|NECOCLI-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|FRONTINO-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
ZARZAL-VALLE|ISTMINA-CHOCO|ESPECIAL
ZARZAL-VALLE|NECOCLI-ANTIOQUIA|ESPECIAL
ZARZAL-VALLE|FRONTINO-ANTIOQUIA|ESPECIAL
ZARZAL-VALLE|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
ZIPACON-CUNDINAMARCA|ISTMINA-CHOCO|ESPECIAL
ZIPACON-CUNDINAMARCA|NECOCLI-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|FRONTINO-ANTIOQUIA|ESPECIAL
ZIPACON-CUNDINAMARCA|SAN BERNARDO DE BATA-NORTE DE SANTANDER(CORRGTO)|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|CIUDAD BOLIVAR-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|JARDIN-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|MACEO-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|SALGAR-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|SAN JERONIMO-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|SAN PEDRO DE URABA-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|SAN VICENTE-ANTIOQUIA|ESPECIAL
ZARAGOZA (V)-VALLE(CORRGTO)|VENECIA-ANTIOQUIA|ESPECIAL
